512828.28551, 3,   0.302,  2.169,  9.064
512828.30636, 3,   0.345,  2.078,  9.753
512828.32528, 3,   0.350,  2.255,  9.629, 4,   0.026,  0.012,  0.005
512828.34528, 3,   0.330,  2.365,  9.222
512828.36629, 3,   0.335,  2.279,  9.093
512828.38521, 3,   0.254,  2.307,  8.997, 4,   0.134,  0.042,  0.005
512828.40506, 3,   0.426,  2.437,  9.064
512828.42615, 3,   0.503,  2.580,  9.021
512828.44506, 3,   0.326,  2.465,  9.303, 4,  -0.074,  0.004,  0.027
512828.46503, 3,   0.436,  2.279,  9.591
512828.48603, 3,   0.637,  2.298,  9.059
512828.50492, 3,   0.713,  2.561,  8.676, 4,   0.081, -0.084, -0.022, 5,  -1.100,  7.100,-45.600
512828.52491, 3,   0.479,  2.188,  9.495
512828.54590, 3,   0.637,  2.135,  9.346
512828.56486, 3,   0.637,  2.365,  8.906, 4,  -0.101,  0.042, -0.050, 5,  -1.100,  7.100,-45.600
512828.58484, 3,   0.536,  2.370,  8.915
512828.60579, 3,   0.359,  2.097,  9.409
512828.62474, 3,   0.340,  1.896,  9.361, 4,   0.011, -0.017, -0.075, 5,  -1.100,  7.500,-46.300
512828.64472, 3,   0.091,  1.853,  9.212
512828.66576, 3,   0.220,  1.963,  9.227
512828.68463, 3,  -0.005,  2.006,  9.576, 4,  -0.166,  0.179,  0.058, 5,  -1.100,  7.500,-46.300
512828.70486, 3,   0.158,  1.987,  9.615
512828.72578, 3,   0.187,  2.001,  9.610
512828.74454, 3,   0.163,  2.159,  8.911, 4,  -0.017,  0.240,  0.102, 5,  -1.100,  7.500,-46.300
512828.76449, 3,   0.139,  2.130,  8.633
512828.78539, 3,  -0.043,  2.063,  9.054
512828.80461, 3,   0.249,  2.121,  9.208, 4,  -0.042,  0.082,  0.039, 5,  -1.100,  8.300,-47.000
512828.82454, 3,   0.512,  2.303,  9.284
512828.84553, 3,   0.397,  2.422,  8.829
512828.86460, 3,   0.455,  2.283,  9.078, 4,  -0.049, -0.019, -0.004, 5,  -1.100,  8.300,-47.000
512828.88448, 3,   0.378,  2.140,  9.251
512828.90542, 3,   0.259,  2.226,  9.289
512828.92440, 3,   0.244,  2.030,  9.461, 4,  -0.171,  0.066, -0.068, 5,  -1.100,  8.300,-47.000
512828.94417, 3,   0.364,  1.790, 10.103
512828.96520, 3,   0.345,  1.647,  9.701
512828.98423, 3,   0.460,  1.819,  9.988, 4,   0.051,  0.115, -0.014, 5,  -1.100,  8.900,-46.200
512829.00425, 3,   0.675,  2.192,  9.964
512829.02545, 3,   0.206,  2.480,  8.212
512829.04394, 3,  -0.182,  2.561,  7.637, 4,   0.737,  0.270,  0.024, 5,  -1.100,  8.900,-46.200
512829.06429, 3,  -0.244,  2.403,  7.723
