512896.44131, 3,  -0.383,  2.250,  9.260
512896.45895, 3,  -0.713,  2.202,  9.255, 4,   0.026,  0.012,  0.005
512896.47897, 3,  -0.646,  1.853,  9.576
512896.49985, 3,   0.014,  1.680,  9.978
512896.51887, 3,  -0.053,  1.900,  9.825, 4,  -0.186, -0.145, -0.003
512896.53885, 3,   0.062,  1.752,  9.547
512896.55976, 3,   0.493,  1.829,  9.485
512896.57874, 3,   0.139,  1.656,  9.461, 4,   0.004, -0.411, -0.172
512896.59895, 3,   0.201,  1.517,  9.260
512896.61971, 3,   0.350,  1.527,  9.222
512896.63865, 3,   0.733,  1.335,  9.777, 4,  -0.148,  0.344, -0.078, 5, -23.700,  4.800,-43.200
512896.65856, 3,   0.570,  1.407,  8.508
512896.67947, 3,  -0.005,  1.714,  8.590
512896.69845, 3,   0.249,  1.905,  9.456, 4,   0.021, -0.380, -0.096, 5, -23.700,  4.800,-43.200
512896.71846, 3,  -0.057,  2.030,  9.552
512896.73941, 3,  -0.029,  1.580,  9.452
512896.75836, 3,   0.421,  1.479,  9.897, 4,  -0.323, -0.256,  0.011, 5, -23.700,  4.800,-43.200
512896.77841, 3,   0.426,  1.489,  9.538
512896.79955, 3,   0.163,  1.364,  8.690
512896.81839, 3,   0.426,  1.240,  9.241, 4,   0.014,  0.160, -0.043, 5, -24.200,  4.800,-43.200
512896.83830, 3,   0.570,  1.225,  9.452
512896.85915, 3,   0.474,  1.125,  9.509
512896.87818, 3,   0.541,  1.378,  8.858, 4,  -0.183, -0.051,  0.196, 5, -24.200,  4.800,-43.200
512896.89829, 3,   0.517,  1.287,  8.839
512896.91914, 3,   0.723,  1.517,  9.753
512896.93826, 3,   0.560,  1.168,  9.753, 4,  -0.172, -0.245, -0.037, 5, -24.800,  5.600,-43.200
512896.95846, 3,   0.450,  1.254,  9.332
512896.97909, 3,   0.417,  1.345,  9.327
512896.99939, 3,   0.651,  1.273,  9.203, 4,   0.024, -0.066,  0.020, 5, -25.800,  6.100,-43.200
512897.01798, 3,   0.704,  1.345,  9.361
512897.03921, 3,   0.450,  0.742,  9.030
512897.05798, 3,   0.766,  1.120,  9.375, 4,  -0.030,  0.086,  0.046, 5, -25.800,  6.100,-43.200
512897.07799, 3,   0.651,  1.249,  9.265
512897.09910, 3,   0.522,  1.125,  9.217
512897.11767, 3,   0.532,  1.192,  9.380, 4,   0.012, -0.059, -0.046, 5, -25.800,  6.100,-43.200
512897.13792, 3,   0.560,  1.067,  9.160
512897.15901, 3,   0.512,  1.197,  8.939
512897.17799, 3,   0.493,  1.307,  9.140, 4,   0.003,  0.051, -0.017, 5, -26.400,  5.700,-43.200
512897.19897, 3,   0.441,  1.144,  9.208
512897.21849, 3,   0.455,  1.187,  9.131
512897.23770, 3,   0.436,  1.168,  9.289, 4,  -0.092,  0.140, -0.009, 5, -26.400,  5.700,-43.200
512897.25751, 3,   0.373,  1.024,  9.112
512897.27878, 3,   0.283,  0.995,  9.169
512897.29877, 3,   0.417,  0.991,  9.519, 4,  -0.036,  0.179,  0.042, 5, -26.400,  5.700,-42.800
512897.31741, 3,   0.306,  1.067,  9.054
512897.33877, 3,   0.330,  0.981,  8.911
