TIME, X, Y, Z
685347.96943, 0.091, 0.636, 7.646
685347.99116, 0.187, 0.670, 8.173
685348.00954, 0.378, 0.646, 8.484
685348.02908, 0.469, 0.876, 8.949
685348.04942, 0.124, 0.761, 9.567
685348.06931, 0.254, 0.641, 10.620
685348.09056, 0.441, 0.555, 11.539
685348.10927, 0.211, 0.531, 12.219
685348.12909, 0.010, 0.833, 11.779
685348.14908, -0.101, 0.689, 11.645
685348.16895, -0.168, 0.603, 11.932
685348.18936, -0.072, 0.981, 11.281
685348.20906, -0.134, 1.110, 10.701
685348.22879, 0.000, 0.746, 11.319
685348.24902, -0.498, -0.618, 13.488
685348.26862, -0.230, -1.279, 15.480
685348.29069, -0.077, -1.126, 13.369
685348.30907, -0.220, -0.772, 10.084
685348.32851, -0.364, -0.465, 7.488
685348.34859, -0.685, -0.293, 7.608
685348.36918, -0.675, 0.004, 8.829
685348.39036, -0.795, -0.226, 9.193
685348.40876, -0.871, -0.044, 9.265
685348.42849, -0.814, 0.177, 8.719
685348.44842, -0.589, 0.038, 7.714
685348.46824, -0.484, 0.071, 7.105
685348.49012, -0.268, 0.392, 6.641
685348.50848, -0.254, 0.512, 6.492
685348.52811, -0.139, 0.675, 6.741
685348.54842, -0.460, 0.354, 6.536
685348.56808, -0.373, 0.421, 6.804
685348.58834, -0.182, 0.718, 7.105
685348.60868, -0.144, 0.919, 7.417
685348.62783, -0.043, 0.900, 7.321
685348.64797, -0.110, 1.177, 7.637
685348.66812, -0.153, 1.398, 8.781
685348.68947, -0.168, 0.928, 10.050
685348.70819, -0.168, 0.828, 9.921
685348.72786, -0.029, 1.024, 9.533
685348.74778, -0.158, 0.847, 9.394
685348.76782, -0.057, 0.976, 10.342
685348.78802, -0.350, 0.809, 11.405
685348.80781, -0.278, 0.627, 11.975
685348.82753, -0.249, 0.804, 11.453
685348.84802, -0.201, 0.837, 10.769
685348.86743, 0.148, 1.134, 11.472
685348.88774, 0.038, 0.900, 11.808
685348.90790, 0.000, 0.426, 12.478
685348.92724, 0.168, -0.087, 13.824
685348.94731, 0.378, -0.551, 13.814
685348.96772, 0.340, -0.882, 12.890
685348.98716, 0.124, -0.484, 11.544
685349.00738, 0.182, 0.023, 10.338
685349.02724, 0.144, 0.066, 9.777
685349.04744, 0.378, 0.076, 9.174
685349.06742, 0.335, 0.124, 8.542
685349.08842, 0.326, -0.168, 7.972
685349.10711, 0.215, -0.135, 7.737
685349.12686, 0.268, -0.183, 7.474
