TIME, X, Y, Z
685427.23840, -0.081, 1.857, 9.260
685427.25902, -0.163, 1.747, 9.298
685427.27914, -0.067, 1.613, 9.284
685427.29892, -0.235, 1.661, 9.117
685427.31927, -0.259, 1.728, 9.322
685427.33894, -0.077, 1.742, 9.380
685427.35893, -0.168, 1.738, 9.380
685427.37882, -0.110, 1.814, 9.366
685427.39894, -0.225, 1.618, 9.169
685427.41873, -0.029, 1.671, 8.963
685427.43870, -0.101, 1.943, 9.327
685427.45882, -0.081, 1.771, 9.471
685427.47860, -0.144, 1.795, 9.394
685427.49855, -0.182, 1.584, 9.136
685427.51857, -0.144, 1.747, 9.102
685427.53858, -0.177, 1.939, 9.217
685427.55851, -0.072, 1.982, 9.437
685427.57873, 0.053, 1.718, 9.332
685427.59870, 0.053, 1.474, 9.375
685427.61874, 0.249, 1.709, 9.327
685427.63892, 0.120, 1.872, 9.026
685427.65848, 0.139, 1.800, 9.184
685427.67854, 0.081, 1.781, 9.212
685427.69860, 0.144, 1.546, 9.097
685427.71855, 0.153, 1.503, 9.083
685427.73832, 0.254, 1.795, 9.102
685427.75855, 0.163, 1.819, 9.059
685427.77830, 0.148, 1.728, 9.236
685427.79824, 0.321, 1.647, 9.088
685427.81862, 0.259, 1.575, 9.409
685427.83794, 0.196, 1.575, 9.538
685427.85815, 0.345, 1.867, 9.399
685427.87836, 0.134, 1.876, 9.203
685427.89813, -0.105, 1.651, 9.227
685427.91778, 0.005, 1.623, 9.504
685427.93804, -0.062, 1.532, 9.591
685427.95779, 0.153, 1.651, 9.389
685427.97904, 0.105, 1.747, 8.963
685427.99896, 0.120, 1.795, 8.700
685428.01798, -0.029, 1.733, 9.356
685428.03787, -0.043, 1.398, 9.801
685428.05778, 0.014, 1.335, 9.744
685428.07796, -0.120, 1.575, 9.059
685428.09777, 0.024, 1.819, 8.872
685428.11795, 0.110, 1.867, 8.786
685428.13735, -0.062, 1.699, 8.753
685428.15731, -0.196, 1.699, 8.465
685428.17756, -0.460, 1.905, 8.523
685428.19733, -0.508, 1.939, 8.542
685428.21757, -0.397, 2.087, 8.523
685428.23882, -0.455, 1.915, 8.978
685428.25703, -0.239, 1.910, 9.241
685428.27704, -0.187, 2.149, 9.193
685428.29739, 0.115, 2.154, 9.006
685428.31704, 0.220, 2.116, 9.389
685428.33728, 0.215, 2.322, 9.658
685428.35792, 0.330, 2.351, 9.720
685428.37682, 0.129, 2.274, 9.662
685428.39694, -0.077, 2.255, 9.571
685428.41698, -0.283, 2.125, 9.576
685428.43677, -0.522, 1.987, 9.294
685428.45759, -0.283, 1.829, 9.466
685428.47685, -0.302, 2.054, 9.538
685428.49671, -0.555, 1.790, 9.811
685428.51664, -0.397, 1.819, 9.686
685428.53869, -0.038, 2.192, 9.672
685428.55760, -0.182, 1.977, 9.394
685428.57640, -0.613, 1.604, 10.103
685428.59677, -0.426, 1.465, 9.782
685428.61643, 0.057, 1.675, 8.982
685428.63745, 0.455, 1.948, 9.140
685428.65762, 0.421, 1.795, 9.615
685428.67617, 0.330, 1.125, 10.223
685428.69633, 0.196, 0.967, 10.472
685428.71637, 0.326, 0.957, 9.926
685428.73765, 0.713, 1.259, 9.212
685428.75598, 0.627, 1.474, 8.561
685428.77614, 0.431, 1.474, 8.633
685428.79606, 0.350, 1.460, 8.738
685428.81596, 0.498, 1.747, 8.738
685428.83658, 0.488, 1.699, 8.528
685428.85611, 0.378, 1.627, 8.456
685428.87580, 0.259, 1.465, 8.575
685428.89596, 0.412, 1.666, 9.298
685428.91574, 0.431, 1.709, 9.045
685428.93744, 0.589, 1.661, 8.379
685428.95569, 0.532, 1.742, 8.015
685428.97565, 0.498, 1.685, 8.188
685428.99565, 0.627, 1.718, 8.781
685429.01581, 0.757, 1.805, 9.562
685429.03568, 0.747, 1.647, 9.169
685429.05572, 0.421, 1.551, 8.959
685429.07545, 0.421, 1.560, 8.920
685429.09546, 0.484, 1.656, 8.925
685429.11544, 0.383, 1.718, 9.102
685429.13721, 0.493, 1.584, 9.184
685429.15579, 0.450, 1.513, 9.088
685429.17515, 0.388, 1.489, 9.356
685429.19578, 0.460, 1.800, 10.069
685429.21541, 0.359, 1.656, 9.332
685429.23542, 0.306, 1.469, 9.634
685429.25572, 0.129, 1.364, 10.175
685429.27494, 0.124, 1.426, 10.338
685429.29503, 0.158, 1.762, 9.734
685429.31497, 0.000, 1.977, 9.117
685429.33641, -0.086, 1.455, 9.624
685429.35502, -0.196, 0.727, 10.491
685429.37497, 0.000, 0.502, 11.075
685429.39480, 0.096, 0.473, 11.381
685429.41474, -0.158, 0.411, 10.898
685429.43504, -0.201, 0.521, 10.189
685429.45446, -0.402, 0.545, 9.083
685429.47444, -0.718, 0.459, 7.819
685429.49471, -0.804, 0.540, 7.680
685429.51473, -0.915, 0.315, 8.240
685429.53664, -0.871, 0.253, 9.447
685429.55517, -0.469, -0.053, 10.060
685429.57431, -0.354, -0.082, 10.338
685429.59463, -0.206, 0.248, 9.921
685429.61454, -0.034, 0.569, 9.049
685429.63466, -0.153, 0.665, 8.642
685429.65464, -0.110, 0.789, 8.513
685429.67420, -0.211, 0.991, 7.848
685429.69444, -0.101, 1.034, 7.967
685429.71421, -0.273, 1.149, 8.427
685429.73498, -0.302, 1.292, 8.700
685429.75448, -0.182, 1.015, 8.346
685429.77388, -0.292, 0.976, 7.967
685429.79451, -0.335, 1.168, 8.264
685429.81428, -0.148, 1.206, 8.446
685429.83406, -0.187, 1.211, 8.183
685429.85410, -0.297, 0.948, 7.283
685429.87371, -0.302, 0.904, 6.315
685429.89374, -0.292, 1.010, 6.186
685429.91413, -0.292, 0.995, 6.373
685429.93389, -0.244, 1.326, 6.756
685429.95408, -0.474, 1.345, 6.880
685429.97365, -0.479, 1.168, 7.465
685429.99349, -0.417, 0.794, 8.168
685430.01343, -0.043, 0.933, 9.835
685430.03343, -0.283, 1.259, 10.419
685430.06316, -0.283, 1.259, 10.419
685430.06681, -0.575, 1.163, 8.733
685430.07308, -0.498, 1.297, 8.619
685430.09325, -0.287, 1.216, 9.773
685430.11327, 0.268, 1.235, 11.951
685430.13300, 0.124, 1.302, 12.780
685430.15454, -0.153, 1.398, 11.779
685430.17321, 0.014, 1.742, 10.414
685430.19320, 0.436, 1.699, 10.381
685430.21306, 0.350, 0.943, 12.507
685430.23306, 0.326, 0.608, 12.952
685430.25308, -0.196, 0.794, 12.076
685430.27429, -0.268, 1.321, 11.199
685430.29306, -0.417, 1.378, 10.668
685430.31273, -0.417, 1.038, 10.745
685430.33297, -0.206, 1.091, 10.577
685430.35294, 0.029, 1.139, 9.624
685430.37298, 0.120, 1.149, 8.695
685430.39287, 0.182, 1.326, 7.637
685430.41251, 0.402, 1.608, 7.187
685430.43258, 0.397, 1.345, 6.895
685430.45296, 0.302, 1.101, 7.259
685430.47234, 0.373, 1.254, 7.469
685430.49265, 0.565, 1.422, 7.517
685430.51258, 0.192, 1.369, 7.010
685430.53248, 0.412, 1.197, 6.526
685430.55224, 0.330, 1.072, 6.464
685430.57233, 0.407, 1.024, 6.569
685430.59227, 0.148, 1.067, 6.727
685430.61217, 0.393, 1.091, 7.086
685430.63234, 0.426, 1.086, 6.962
685430.65245, 0.417, 1.153, 7.670
685430.67344, 0.412, 1.192, 9.016
685430.69244, 0.316, 1.024, 10.955
685430.71217, 0.340, 1.192, 12.157
685430.73202, 0.292, 1.848, 11.635
685430.75243, 0.172, 1.498, 12.239
685430.77323, 0.134, 1.029, 13.273
685430.79206, -0.215, 1.173, 12.828
685430.81211, -0.330, 1.642, 10.740
685430.83182, -0.852, 2.159, 9.476
685430.85174, -1.403, 1.287, 10.658
685430.87213, -0.814, 0.330, 12.914
685430.89297, -0.373, -0.211, 13.440
685430.91134, -0.345, 0.105, 13.306
685430.93188, -0.326, 1.110, 10.716
685430.95144, -0.436, 1.541, 8.547
685430.97175, -0.350, 1.426, 7.000
685430.99330, -0.287, 1.259, 7.115
685431.01114, -0.354, 1.125, 7.508
685431.03112, -0.517, 1.086, 7.330
685431.05141, -0.364, 0.991, 7.187
685431.07123, -0.373, 0.799, 6.349
685431.09105, -0.484, 1.005, 5.880
685431.11101, -0.757, 1.125, 6.243
685431.13083, -0.809, 0.924, 7.359
685431.15087, -0.761, 0.732, 8.001
685431.17127, -0.383, 0.569, 7.958
685431.19096, -0.560, 0.507, 7.728
685431.21109, -0.733, 0.315, 8.049
685431.23093, -0.153, 0.478, 9.140
685431.25092, 0.326, 0.588, 10.098
685431.27069, 0.311, 0.665, 11.324
685431.29111, 0.005, 1.086, 10.520
685431.31124, -0.436, 1.608, 10.323
685431.33039, -0.800, 1.493, 11.238
685431.35091, -0.287, 1.139, 11.961
685431.37082, 0.268, 0.890, 12.717
685431.39196, 0.508, 1.082, 12.502
685431.41080, 0.215, 0.713, 12.195
685431.43028, 0.259, 0.833, 12.066
685431.45036, 0.364, 0.708, 11.741
685431.47044, 0.273, 0.392, 11.884
685431.49026, 0.302, 0.804, 11.032
685431.51059, 0.297, 0.780, 10.022
685431.53021, 0.239, 0.703, 8.896
