ID, X, Y, Z
512798.90999, 0.546, 1.201, 10.678
512798.92905, 0.445, 1.120, 11.099
512798.94894, 0.139, 0.986, 10.788
512798.96950, 0.057, 1.216, 10.232
512798.98852, -0.086, 1.599, 10.108
512799.00867, -0.196, 1.503, 10.136
512799.02940, -0.570, 0.584, 10.644
512799.04857, -0.215, -0.183, 12.239
512799.06838, 0.086, -0.757, 12.569
512799.08938, 0.316, 0.086, 10.572
512799.10847, -0.144, 0.392, 8.710
512799.12946, -0.536, 0.555, 8.226
512799.14911, -0.565, 0.837, 8.532
512799.16810, -0.824, 0.732, 8.116
512799.18832, -0.867, 0.847, 8.020
512799.20915, -0.642, 0.890, 7.967
512799.22798, -0.373, 1.000, 7.891
512799.24835, -0.354, 1.005, 7.694
512799.26903, -0.326, 1.278, 7.259
512799.28784, -0.517, 1.474, 7.259
512799.30811, -0.431, 1.369, 7.785
512799.32908, -0.168, 1.149, 8.662
512799.34810, -0.177, 0.866, 9.049
512799.36764, -0.215, 0.890, 9.064
512799.38885, -0.326, 1.316, 9.337
512799.40758, -0.512, 1.259, 9.298
512799.42935, -0.278, 1.287, 9.538
512799.44887, -0.397, 1.378, 9.188
512799.46744, -0.584, 1.460, 8.968
512799.48771, -0.608, 1.536, 9.136
512799.50841, -0.397, 1.627, 10.069
512799.52742, -0.426, 1.331, 10.802
512799.54757, -0.608, 1.422, 11.180
512799.56833, -0.326, 1.642, 10.850
512799.58751, -0.057, 2.173, 10.146
512799.60754, 0.335, 2.580, 9.562
512799.62857, 0.077, 1.848, 9.820
512799.64746, -0.316, 0.603, 11.889
512799.66698, -0.144, -0.556, 13.852
512799.68807, 0.268, -0.863, 13.953
512799.70727, 0.680, -0.120, 11.554
512799.72749, -0.182, 0.268, 8.499
512799.74820, -0.259, 0.454, 6.339
512799.76680, -0.158, 0.885, 5.980
512799.78684, -0.417, 1.216, 6.708
512799.80802, 0.110, 1.086, 8.053
512799.82739, 0.239, 0.775, 9.145
512799.84703, 0.134, 0.349, 9.758
512799.86760, -0.148, 0.167, 9.557
512799.88660, -0.067, 0.478, 8.963
512799.90664, -0.019, 0.938, 8.207
512799.92774, 0.096, 1.168, 7.565
512799.94682, -0.024, 1.187, 7.498
512799.96641, -0.297, 1.139, 7.656
512799.98746, -0.230, 1.220, 8.168
512800.00630, 0.105, 1.393, 8.542
512800.02862, 0.124, 1.326, 8.973
512800.04750, -0.110, 1.072, 9.749
512800.06618, 0.005, 1.302, 10.012
512800.08617, 0.134, 1.398, 9.763
512800.10741, 0.034, 1.580, 9.749
512800.12756, -0.124, 1.565, 10.534
512800.14625, -0.297, 1.369, 10.692
512800.16700, -0.297, 1.206, 10.773
512800.18599, -0.383, 1.139, 10.529
512800.20580, -0.134, 1.771, 10.189
512800.22706, -0.431, 1.709, 9.725
512800.24617, -0.541, 1.096, 10.247
512800.26568, -1.077, -0.475, 12.143
512800.28726, -0.527, -1.202, 14.302
512800.30571, 0.000, -0.503, 11.721
512800.32587, 0.014, 0.133, 8.992
512800.34686, -0.383, 0.536, 7.546
512800.36549, -1.015, 0.651, 6.928
512800.38554, -0.996, 0.430, 7.388
512800.40668, -0.996, 0.416, 8.188
512800.42762, -0.757, 0.397, 9.131
512800.44553, -0.417, 0.397, 8.853
512800.46639, -0.350, 0.459, 8.192
512800.48536, -0.330, 0.818, 8.111
512800.50550, -0.144, 0.871, 7.804
512800.52634, -0.335, 0.986, 7.977
512800.54534, -0.450, 1.000, 8.197
512800.56507, -0.565, 0.780, 8.288
512800.58622, -0.618, 0.670, 8.824
512800.60519, -0.742, 0.737, 9.361
512800.62589, -0.848, 1.173, 9.193
512800.64641, -0.848, 1.254, 9.112
512800.66484, -0.924, 1.225, 9.217
512800.68493, -0.828, 1.584, 9.121
512800.70618, -0.656, 1.551, 9.322
512800.72495, -0.455, 1.541, 9.643
512800.74494, -0.393, 1.594, 10.098
512800.76569, -0.388, 1.225, 10.855
512800.78496, -0.249, 1.307, 11.305
512800.80480, 0.043, 1.599, 10.491
512800.82600, 0.038, 1.929, 9.543
512800.84470, -0.297, 1.584, 9.940
512800.86448, -0.397, -0.034, 11.697
512800.88581, 0.005, -1.159, 13.924
512800.90460, 0.570, -1.121, 13.780
512800.92451, 0.263, -0.178, 10.524
512800.94548, -0.220, 0.229, 7.809
512800.96421, -0.235, 0.560, 6.416
512800.98425, -0.536, 0.560, 6.967
512801.00549, -0.484, 0.402, 8.283
512801.02448, 0.172, 0.296, 9.121
512801.04433, 0.326, 0.105, 8.868
512801.06513, 0.110, 0.019, 9.212
512801.08403, 0.335, 0.215, 9.102
512801.10415, 0.498, 0.454, 8.800
512801.12608, 0.263, 0.603, 8.216
512801.14404, 0.105, 0.588, 7.010
512801.16381, 0.110, 0.976, 7.058
512801.18518, -0.148, 1.062, 7.431
512801.20396, -0.244, 1.072, 8.077
512801.22410, -0.105, 1.129, 8.542
512801.24498, -0.249, 0.871, 8.992
512801.26361, -0.268, 0.900, 9.413
512801.28380, -0.153, 0.928, 10.520
512801.30479, -0.172, 1.043, 10.840
512801.32486, 0.081, 1.345, 10.290
512801.34339, -0.302, 1.398, 10.031
512801.36463, -0.215, 1.364, 10.879
512801.38309, -0.172, 1.235, 11.257
512801.40339, -0.297, 0.995, 10.797
512801.42430, -0.196, 1.465, 10.031
512801.44420, -0.455, 1.656, 9.179
512801.46294, -0.584, 1.259, 9.696
512801.48398, -0.493, -0.245, 12.090
512801.50290, -0.273, -1.179, 13.407
512801.52308, 0.120, -0.546, 12.047
512801.54417, -0.110, 0.411, 9.485
