ID, X, Y, Z
512896.44131, -0.383, 2.250, 9.260
512896.45895, -0.713, 2.202, 9.255
512896.47897, -0.646, 1.853, 9.576
512896.49985, 0.014, 1.680, 9.978
512896.51887, -0.053, 1.900, 9.825
512896.53885, 0.062, 1.752, 9.547
512896.55976, 0.493, 1.829, 9.485
512896.57874, 0.139, 1.656, 9.461
512896.59895, 0.201, 1.517, 9.260
512896.61971, 0.350, 1.527, 9.222
512896.63865, 0.733, 1.335, 9.777
512896.65856, 0.570, 1.407, 8.508
512896.67947, -0.005, 1.714, 8.590
512896.69845, 0.249, 1.905, 9.456
512896.71846, -0.057, 2.030, 9.552
512896.73941, -0.029, 1.580, 9.452
512896.75836, 0.421, 1.479, 9.897
512896.77841, 0.426, 1.489, 9.538
512896.79955, 0.163, 1.364, 8.690
512896.81839, 0.426, 1.240, 9.241
512896.83830, 0.570, 1.225, 9.452
512896.85915, 0.474, 1.125, 9.509
512896.87818, 0.541, 1.378, 8.858
512896.89829, 0.517, 1.287, 8.839
512896.91914, 0.723, 1.517, 9.753
512896.93826, 0.560, 1.168, 9.753
512896.95846, 0.450, 1.254, 9.332
512896.97909, 0.417, 1.345, 9.327
512896.99939, 0.651, 1.273, 9.203
512897.01798, 0.704, 1.345, 9.361
512897.03921, 0.450, 0.742, 9.030
512897.05798, 0.766, 1.120, 9.375
512897.07799, 0.651, 1.249, 9.265
512897.09910, 0.522, 1.125, 9.217
512897.11767, 0.532, 1.192, 9.380
512897.13792, 0.560, 1.067, 9.160
512897.15901, 0.512, 1.197, 8.939
512897.17799, 0.493, 1.307, 9.140
512897.19897, 0.441, 1.144, 9.208
512897.21849, 0.455, 1.187, 9.131
512897.23770, 0.436, 1.168, 9.289
512897.25751, 0.373, 1.024, 9.112
512897.27878, 0.283, 0.995, 9.169
512897.29877, 0.417, 0.991, 9.519
512897.31741, 0.306, 1.067, 9.054
512897.33877, 0.330, 0.981, 8.911
512897.35733, 0.646, 1.278, 10.639
512897.37862, 0.029, 0.880, 8.935
512897.39814, 0.249, 1.062, 8.657
512897.41721, 0.354, 1.034, 8.551
512897.43691, 0.321, 0.847, 8.355
512897.45813, 0.306, 0.904, 8.858
512897.47709, 0.436, 1.220, 9.782
512897.49843, 0.067, 0.847, 8.590
512897.51804, 0.268, 0.890, 8.815
512897.53670, 0.287, 0.823, 8.777
512897.55676, 0.220, 0.833, 8.192
512897.57755, 0.215, 1.005, 7.814
512897.59657, 0.187, 0.943, 7.982
512897.61649, 0.225, 0.909, 7.742
512897.63757, 0.412, 0.818, 7.737
512897.65654, 0.369, 0.799, 7.728
512897.67692, 0.105, 0.871, 7.613
512897.69749, -0.091, 0.828, 7.522
512897.71627, -0.091, 0.785, 7.560
512897.73629, -0.120, 0.871, 7.699
512897.75732, -0.115, 0.679, 8.001
512897.77653, -0.134, 0.694, 8.044
512897.79627, -0.053, 0.756, 7.737
512897.81712, 0.096, 0.737, 8.346
512897.83611, 0.192, 0.761, 8.561
512897.85641, 0.182, 0.775, 8.422
512897.87701, 0.474, 0.440, 10.108
512897.89603, 0.503, 0.177, 10.457
512897.91596, 0.192, 0.224, 9.844
512897.93682, 0.144, 0.205, 9.964
512897.95583, 0.005, 0.124, 9.954
512897.97587, -0.393, -0.226, 10.146
512897.99680, -0.211, -0.068, 9.864
512898.01571, -0.158, 0.071, 10.089
512898.03573, -0.029, -0.216, 9.878
512898.05665, 0.201, -0.317, 9.744
512898.07583, 0.393, 0.325, 9.634
512898.09598, 0.139, 0.382, 9.002
512898.11674, 0.239, 0.435, 9.131
512898.13588, 0.101, 0.167, 9.854
512898.15591, 0.134, -0.154, 10.050
512898.17668, 0.129, -0.436, 10.108
512898.19584, 0.211, -0.288, 9.921
512898.21557, 0.383, 0.052, 10.156
512898.23769, 0.038, -0.341, 10.280
512898.25552, 0.062, -0.499, 10.280
512898.27545, 0.163, -0.192, 9.883
512898.29661, -0.105, -0.125, 9.500
512898.31573, -0.062, -0.005, 9.265
512898.33671, -0.014, -0.101, 10.007
512898.35610, 0.053, -0.264, 11.132
512898.37517, 0.316, -0.398, 11.391
512898.39553, 0.445, -0.058, 11.161
512898.41658, 0.306, 0.244, 10.189
512898.43592, 0.153, 0.133, 10.486
512898.45522, -0.077, 0.062, 11.257
512898.47595, 0.431, 0.339, 11.616
512898.49490, 0.661, 0.675, 11.741
512898.51522, 0.383, 0.665, 11.544
512898.53691, 0.220, 0.885, 12.090
512898.55488, -0.110, 1.197, 11.094
512898.57476, -0.177, 1.541, 9.629
512898.59605, 0.034, 1.268, 9.284
512898.61487, 0.182, 1.422, 9.624
512898.63488, -0.072, 1.685, 9.787
512898.65547, -0.077, 1.661, 9.868
512898.67454, 0.091, 2.006, 10.136
512898.69479, -0.220, 1.987, 10.826
512898.71549, 0.101, 2.173, 10.759
512898.73638, 0.311, 2.212, 9.648
512898.75463, 0.560, 2.303, 8.465
512898.77537, 0.838, 2.475, 9.059
512898.79456, 0.642, 2.700, 9.270
512898.81468, 0.278, 2.978, 9.528
512898.83656, 0.359, 2.791, 8.786
512898.85444, 0.235, 2.509, 8.844
512898.87418, 0.187, 2.738, 8.101
512898.89510, 0.354, 3.102, 8.183
512898.91453, 0.412, 3.083, 8.484
512898.93426, 0.278, 2.753, 8.609
512898.95474, 0.273, 2.628, 8.853
512898.97392, 0.187, 2.619, 9.389
512898.99389, 0.072, 2.576, 9.394
512899.01500, 0.354, 2.437, 9.040
512899.03515, 0.383, 2.370, 8.944
512899.05360, 0.292, 2.183, 9.217
512899.07474, 0.369, 2.485, 9.102
512899.09359, 0.144, 2.446, 8.906
512899.11371, 0.263, 2.547, 8.853
512899.13500, 0.426, 2.556, 8.762
512899.15370, 0.402, 2.422, 8.681
512899.17354, 0.201, 2.456, 9.169
512899.19468, 0.230, 2.576, 9.131
512899.21356, 0.345, 2.561, 9.318
512899.23494, 0.211, 2.571, 9.289
512899.25417, 0.038, 2.561, 9.188
512899.27350, -0.096, 2.623, 9.049
512899.29345, -0.053, 2.370, 8.710
512899.31461, -0.148, 2.451, 8.647
512899.33456, -0.254, 2.379, 8.848
512899.35452, -0.230, 2.336, 9.083
512899.37387, -0.192, 2.116, 9.461
512899.39305, 0.062, 2.173, 9.456
512899.41293, -0.306, 2.197, 9.140
512899.43413, -0.187, 2.178, 9.088
512899.45403, -0.019, 2.154, 9.112
512899.47279, 0.163, 2.164, 8.829
512899.49381, 0.177, 2.188, 8.590
512899.51267, 0.105, 2.216, 8.997
512899.53280, 0.235, 2.418, 9.040
512899.55506, 0.177, 2.044, 9.322
512899.57247, -0.187, 1.637, 9.370
512899.59266, -0.120, 1.474, 9.658
512899.61351, 0.048, 1.608, 9.691
512899.63288, 0.134, 1.541, 9.361
512899.65257, -0.053, 0.904, 9.720
512899.67325, 0.268, 0.933, 9.729
512899.69226, 0.297, 1.034, 9.088
512899.71220, -0.144, 0.478, 9.102
512899.73292, -0.019, -0.106, 9.921
512899.75190, 0.503, 0.028, 11.123
512899.77216, 0.608, 0.291, 11.267
512899.79287, 0.848, 0.368, 11.717
512899.81201, 0.895, 0.167, 12.076
512899.83320, 0.900, -0.254, 11.937
512899.85312, 0.637, -0.843, 12.263
512899.87198, 0.795, -1.116, 12.808
512899.89204, 0.436, -1.523, 13.321
512899.91298, 0.402, -1.509, 13.608
512899.93168, 0.474, -1.016, 13.316
512899.95252, 0.297, -0.475, 12.291
512899.97264, -0.110, -0.082, 11.132
512899.99178, -0.115, -0.034, 10.572
512900.01178, -0.144, 0.153, 10.199
512900.03285, -0.163, 0.071, 10.208
512900.05275, 0.254, -0.106, 10.529
512900.07144, 0.249, -0.297, 10.840
512900.09249, 0.024, -0.503, 11.334
512900.11142, -0.187, -0.197, 10.850
512900.13136, -0.431, -0.020, 10.754
512900.15254, -0.551, 0.129, 10.462
512900.17117, -0.460, 0.014, 9.552
512900.19139, -0.455, -0.058, 8.906
512900.21229, -0.129, 0.023, 8.427
512900.23120, -0.029, 0.239, 8.733
512900.25132, -0.340, 0.450, 8.891
512900.27393, -0.268, 0.406, 8.714
512900.29104, -0.263, 0.473, 8.657
512900.31107, -0.259, 0.421, 8.302
512900.33202, -0.278, 0.526, 8.561
512900.35120, -0.172, 0.344, 8.623
512900.37254, 0.029, 0.205, 8.551
512900.39175, -0.110, 0.196, 8.494
512900.41070, -0.321, 0.454, 8.963
512900.43123, -0.330, 0.426, 8.796
512900.45167, -0.144, 0.488, 8.336
512900.47113, -0.024, 0.550, 7.661
512900.49107, 0.091, 0.526, 7.421
512900.51148, 0.249, 0.550, 7.814
512900.53053, 0.201, 0.660, 7.934
512900.55050, 0.172, 0.737, 7.455
512900.57305, 0.086, 0.890, 7.565
512900.59081, 0.163, 1.096, 8.001
512900.61026, 0.163, 1.187, 7.637
512900.63158, 0.220, 1.096, 7.508
512900.65022, 0.364, 1.086, 8.001
512900.67075, 0.000, 1.110, 8.489
512900.69172, -0.057, 1.321, 8.053
512900.71005, -0.043, 1.326, 7.618
512900.73029, -0.024, 1.029, 7.809
512900.75113, 0.010, 1.015, 8.446
512900.77198, 0.081, 1.029, 8.767
512900.79047, 0.110, 1.149, 8.504
512900.81081, 0.148, 1.307, 8.144
512900.83027, -0.072, 1.297, 8.006
512900.84994, 0.062, 1.216, 8.666
512900.87221, 0.321, 1.072, 9.069
512900.89014, 0.469, 1.125, 9.643
512900.90979, 0.369, 1.115, 9.375
512900.93077, 0.321, 1.072, 8.997
512900.94966, 0.364, 1.335, 8.935
512900.97136, 0.148, 1.331, 9.088
512900.99106, 0.000, 1.618, 9.059
512901.00943, 0.048, 1.498, 9.208
512901.02989, -0.038, 1.187, 9.351
512901.05044, -0.316, 1.560, 9.782
512901.06907, 0.139, 1.129, 9.844
512901.08926, 0.043, 1.331, 9.547
512901.11028, 0.278, 1.254, 9.437
512901.12918, 0.230, 1.331, 9.236
512901.14917, 0.220, 1.441, 9.418
512901.16982, 0.148, 1.556, 9.327
512901.18882, -0.034, 1.479, 9.102
