TIME, X, Y, Z
685453.88123, -0.148, 2.327, 9.179
685453.90187, -0.101, 2.437, 8.959
685453.92207, -0.220, 2.470, 9.208
685453.94178, -0.182, 2.480, 8.963
685453.96177, -0.206, 2.303, 8.719
685453.98191, -0.273, 1.972, 8.939
685454.00169, -0.034, 2.082, 9.509
685454.02178, 0.187, 2.365, 9.217
685454.04188, -0.053, 2.255, 9.332
685454.06164, 0.115, 2.140, 9.184
685454.08155, 0.014, 2.130, 9.227
685454.10166, 0.010, 1.848, 9.409
685454.12163, 0.177, 2.192, 9.303
685454.14151, 0.153, 2.192, 9.313
685454.16178, 0.129, 2.250, 9.255
685454.18160, 0.163, 1.967, 9.011
685454.20128, 0.163, 1.900, 9.002
685454.22168, 0.139, 2.087, 9.169
685454.24133, 0.287, 2.097, 9.437
685454.26128, 0.153, 1.920, 9.366
685454.28137, -0.038, 1.771, 9.217
685454.30121, 0.019, 1.896, 9.093
685454.32118, -0.019, 1.996, 9.342
685454.34149, -0.010, 2.159, 9.471
685454.36136, 0.101, 1.982, 8.829
685454.38112, 0.182, 1.785, 8.925
685454.40125, -0.034, 1.900, 8.824
685454.42102, -0.101, 2.020, 8.863
685454.44085, 0.000, 2.221, 8.959
685454.46110, 0.014, 2.398, 9.026
685454.48093, -0.244, 2.087, 9.064
685454.50098, -0.364, 1.929, 9.576
685454.52119, -0.675, 1.929, 9.356
685454.54131, -0.690, 2.058, 9.332
685454.56069, -0.110, 2.212, 9.255
685454.58121, 0.187, 2.279, 8.954
685454.60082, 0.139, 2.116, 8.657
685454.62074, 0.153, 2.269, 8.374
685454.64090, 0.096, 2.226, 8.547
685454.66053, -0.096, 2.154, 9.131
685454.68088, -0.086, 1.948, 9.586
685454.70090, -0.005, 2.078, 9.595
685454.72061, -0.067, 2.116, 9.164
685454.74054, -0.048, 2.202, 8.800
685454.76042, -0.096, 2.336, 9.011
685454.78030, -0.163, 2.197, 9.174
685454.80053, -0.206, 1.982, 9.016
685454.82058, -0.187, 1.896, 9.188
685454.84047, 0.034, 2.020, 9.279
685454.86016, 0.215, 1.991, 9.471
685454.88063, 0.014, 1.853, 9.998
685454.90046, -0.278, 1.551, 10.084
685454.92048, -0.239, 1.565, 10.026
685454.94040, -0.148, 1.690, 10.237
685454.95991, -0.292, 1.838, 10.156
685454.98018, -0.139, 1.752, 10.271
685455.00038, -0.072, 1.460, 10.084
685455.02000, -0.024, 1.019, 9.825
685455.04007, -0.057, 1.125, 9.370
685455.05999, -0.656, 0.976, 9.878
685455.07994, -1.164, 0.512, 10.792
685455.10002, -0.795, 0.315, 10.615
685455.12085, -0.168, 0.469, 10.165
685455.13956, 0.297, 0.727, 9.164
685455.15951, 0.187, 0.660, 8.705
685455.17984, 0.211, 0.967, 8.714
685455.19987, 0.053, 1.082, 8.705
685455.21954, 0.220, 0.962, 8.820
685455.23989, 0.417, 0.919, 9.246
685455.25930, 0.498, 1.005, 9.284
685455.27953, 0.599, 1.201, 8.815
685455.29979, 0.474, 1.206, 8.877
685455.32055, 0.364, 1.173, 9.126
685455.33896, 0.560, 1.307, 9.064
685455.35920, 0.843, 1.484, 8.571
685455.37926, 0.838, 1.599, 8.111
685455.39955, 0.378, 1.474, 8.580
685455.41914, 0.393, 1.369, 9.093
685455.43878, 0.498, 1.374, 8.891
685455.45892, 0.709, 1.604, 8.475
685455.47937, 0.345, 1.546, 8.666
685455.49919, 0.163, 1.412, 9.437
685455.52012, 0.187, 1.350, 9.926
685455.53866, 0.239, 1.484, 9.729
685455.55866, 0.215, 1.575, 9.275
685455.57905, 0.144, 1.546, 9.758
685455.59898, 0.010, 1.273, 10.984
685455.61826, 0.259, 1.350, 11.262
685455.63823, 0.579, 1.694, 11.425
685455.65878, 0.646, 1.742, 11.032
685455.67862, 0.340, 1.560, 10.888
685455.69845, 0.187, 1.455, 11.688
685455.71830, 0.397, 1.594, 12.411
685455.73810, 0.105, 1.460, 11.712
685455.75811, -0.383, 0.780, 11.022
685455.77966, -0.402, 0.210, 10.764
685455.79809, 0.024, -0.345, 12.191
685455.81876, 0.292, -0.336, 12.713
685455.83808, 0.287, -0.025, 11.381
685455.85819, -0.048, 0.014, 9.083
685455.87796, -0.158, 0.038, 8.566
685455.90162, -0.086, -0.111, 9.097
685455.91811, -0.211, -0.393, 9.528
685455.93769, -0.527, -0.666, 9.217
685455.95805, -0.800, -0.417, 8.580
685455.97813, -0.766, -0.077, 8.197
685455.99818, -0.761, 0.315, 8.020
685456.01928, -0.460, 0.426, 8.087
685456.03743, -0.412, -0.092, 8.020
685456.05756, -0.393, -0.154, 7.742
685456.07774, -0.067, 0.177, 7.498
685456.09794, 0.177, 0.679, 8.149
685456.11884, 0.148, 0.665, 8.432
685456.13794, -0.254, 0.421, 8.930
685456.15738, -0.254, 0.186, 8.437
685456.17728, -0.105, 0.665, 7.704
685456.19741, 0.187, 0.991, 7.431
685456.21715, -0.244, 0.732, 7.441
685456.23739, -0.306, 0.732, 8.360
685456.25752, -0.297, 0.876, 8.786
685456.27711, -0.287, 0.995, 8.010
685456.29702, -0.680, 1.043, 7.843
685456.31759, -0.690, 0.866, 9.940
685456.33845, -0.670, 0.560, 12.713
685456.35685, -0.254, 0.818, 12.444
685456.37706, 0.062, 1.211, 10.189
685456.39675, -0.445, 1.201, 9.571
685456.41701, -0.685, 1.005, 10.496
685456.43684, -0.163, 0.699, 11.592
685456.45659, -0.239, -0.125, 12.780
685456.47668, -0.378, -1.001, 14.389
685456.49684, -0.311, -0.824, 13.728
685456.51697, -0.383, -0.183, 11.176
685456.53814, -0.493, 0.047, 9.112
