TIME, X, Y, Z
720383.66920, -0.005, 1.613, 9.179
720383.68822, -0.053, 1.350, 9.174
720383.70838, -0.019, 1.513, 9.231
720383.72812, 0.067, 1.599, 9.433
720383.74808, 0.153, 1.661, 9.275
720383.76827, 0.124, 1.594, 9.279
720383.78797, 0.177, 1.565, 9.059
720383.80805, 0.096, 1.417, 9.251
720383.82813, 0.010, 1.422, 9.126
720383.84798, -0.081, 1.929, 9.030
720383.86789, 0.105, 1.589, 9.739
720383.88797, 0.086, 1.556, 9.787
720383.90791, 0.077, 1.733, 9.974
720383.92781, 0.048, 1.431, 9.547
720383.94787, -0.005, 1.671, 9.567
720383.96775, 0.053, 2.058, 8.853
720383.98772, -0.077, 2.030, 8.350
720384.00824, -0.354, 1.948, 8.298
720384.02779, -0.259, 1.929, 8.757
720384.04775, -0.134, 1.958, 9.461
720384.06793, -0.101, 1.675, 9.945
720384.08762, -0.249, 1.508, 9.868
720384.10756, -0.072, 1.551, 10.022
720384.12766, 0.306, 1.656, 9.246
720384.14756, 0.460, 1.762, 8.508
720384.16762, 0.493, 1.996, 8.240
720384.18774, 0.172, 2.087, 8.666
720384.20771, -0.259, 2.039, 8.939
720384.22750, -0.254, 1.771, 9.035
720384.24748, -0.101, 2.025, 8.987
720384.26739, 0.005, 2.327, 8.925
720384.28726, 0.048, 2.365, 9.298
720384.30733, -0.077, 2.130, 9.466
720384.32712, 0.005, 2.121, 9.136
720384.34695, -0.019, 2.260, 8.571
720384.36745, 0.000, 2.351, 8.968
720384.38688, 0.024, 2.240, 9.145
720384.40684, -0.062, 2.015, 9.366
720384.42737, -0.067, 2.054, 9.313
720384.44701, -0.134, 1.977, 9.117
720384.46842, -0.215, 1.709, 9.567
720384.48706, -0.254, 1.752, 10.136
720384.50669, -0.373, 1.996, 10.644
720384.52676, -0.637, 1.666, 10.807
720384.54708, -0.565, 1.671, 10.931
720384.56829, -0.139, 1.694, 10.491
720384.58704, -0.096, 1.666, 9.969
720384.60666, 0.081, 1.560, 9.753
720384.62652, 0.072, 0.924, 10.290
720384.64667, -0.239, 0.301, 11.314
720384.66813, -0.369, 0.373, 11.051
720384.68682, -0.637, 0.531, 10.831
720384.70624, -0.417, 0.612, 9.969
720384.72646, -0.230, 0.426, 9.126
720384.74616, 0.034, 0.363, 8.432
720384.76605, 0.292, 0.282, 8.561
720384.78642, 0.517, 0.378, 9.030
720384.80608, 0.498, 0.315, 8.992
720384.82604, -0.091, 0.186, 9.231
720384.84631, -0.053, 0.339, 9.524
720384.86743, 0.158, 0.751, 9.093
720384.88620, 0.335, 1.048, 7.594
720384.90598, 0.153, 1.058, 7.158
720384.92588, -0.010, 0.924, 7.757
720384.94568, 0.129, 0.914, 8.427
720384.96584, 0.225, 1.225, 8.777
720384.98599, 0.249, 1.455, 9.016
720385.00561, 0.278, 1.513, 8.671
720385.02589, 0.115, 1.125, 8.623
720385.04582, -0.124, 1.038, 9.174
720385.06701, 0.105, 1.474, 9.485
720385.08614, 0.153, 1.671, 9.524
720385.10547, 0.268, 1.752, 9.083
720385.12545, 0.148, 1.474, 9.476
720385.14583, -0.172, 1.197, 10.587
720385.16662, 0.220, 1.335, 11.223
720385.18545, 0.546, 1.599, 11.051
720385.20536, 0.450, 1.517, 11.142
720385.22550, 0.172, 1.163, 11.267
720385.24517, 0.244, 0.914, 11.817
720385.26529, 0.101, 0.876, 12.564
720385.28534, 0.158, 1.359, 11.942
720385.30502, 0.029, 1.599, 10.907
720385.32539, 0.249, 1.388, 10.625
720385.34481, 0.134, 0.976, 10.960
720385.36587, 0.297, 0.363, 12.353
