TIME, X, Y, Z
685322.40365, -0.024, 2.260, 9.174
685322.42388, 0.014, 2.212, 9.184
685322.44398, 0.077, 2.331, 9.179
685322.46382, 0.034, 2.485, 9.054
685322.48374, -0.029, 2.441, 9.083
685322.50395, 0.053, 2.336, 9.217
685322.52368, 0.101, 2.422, 9.533
685322.54378, 0.182, 2.561, 9.442
685322.56389, 0.187, 2.394, 8.997
685322.58361, 0.081, 2.288, 8.982
685322.60360, 0.124, 2.188, 9.260
685322.62374, 0.153, 2.389, 9.145
685322.64343, 0.029, 2.121, 9.255
685322.66346, -0.014, 2.025, 9.179
685322.68358, -0.153, 2.207, 9.327
685322.70370, -0.311, 2.049, 9.557
685322.72332, -0.421, 1.991, 9.629
685322.74349, -0.048, 1.934, 9.136
685322.76344, -0.177, 2.049, 8.681
685322.78376, -0.340, 2.054, 8.666
685322.80370, -0.230, 2.058, 8.537
685322.82329, -0.311, 2.135, 8.413
685322.84329, -0.474, 2.192, 8.700
685322.86378, -0.532, 2.427, 9.203
685322.88334, -0.594, 2.341, 9.198
685322.90327, -0.737, 2.269, 9.394
685322.92319, -0.426, 2.456, 9.270
685322.94291, -0.436, 2.456, 9.174
685322.96285, -0.383, 2.695, 9.212
685322.98322, -0.048, 2.738, 8.757
685323.00274, -0.057, 2.489, 8.700
685323.02294, -0.038, 2.542, 8.767
685323.04305, 0.134, 2.571, 8.714
685323.06274, 0.278, 2.341, 8.997
685323.08274, 0.115, 2.465, 8.829
685323.10312, 0.019, 2.695, 8.705
685323.12255, -0.134, 2.470, 8.432
685323.14254, -0.254, 2.441, 8.623
685323.16271, -0.373, 2.499, 9.107
685323.18271, -0.321, 2.633, 9.117
685323.20639, -0.263, 2.552, 9.078
685323.22318, -0.168, 2.724, 9.117
685323.24228, -0.354, 2.767, 9.117
685323.26253, -0.283, 2.781, 9.595
685323.28323, -0.129, 2.628, 10.069
685323.30635, -0.187, 2.695, 9.739
685323.32213, -0.220, 2.690, 9.935
685323.34265, -0.244, 2.647, 9.892
685323.36209, -0.196, 2.662, 9.753
685323.38257, -0.215, 2.805, 9.720
685323.40473, -0.168, 2.647, 9.648
685323.42196, 0.091, 2.547, 10.074
685323.44196, -0.034, 2.413, 9.854
685323.46203, -0.192, 2.044, 10.572
685323.48199, 0.038, 1.498, 11.128
685323.50209, 0.292, 1.139, 11.099
685323.52232, 0.192, 0.971, 10.357
685323.54282, -0.072, 1.106, 9.634
685323.56205, -0.010, 0.948, 9.260
685323.58208, 0.397, 0.847, 8.815
685323.60190, 0.421, 0.866, 8.920
685323.62125, 0.541, 0.890, 8.561
685323.64154, 0.474, 1.153, 8.499
685323.66149, 0.637, 1.220, 8.690
685323.68150, 0.857, 0.900, 8.930
685323.70168, 0.804, 0.866, 9.763
685323.72149, 0.795, 0.746, 10.108
685323.74148, 0.498, 0.732, 10.103
685323.76186, 0.493, 0.928, 10.223
685323.78123, 0.622, 1.086, 9.150
685323.80129, 0.680, 1.010, 8.470
685323.82133, 0.646, 1.053, 7.718
685323.84163, 0.632, 1.220, 7.785
685323.86260, 0.321, 1.177, 8.307
685323.88106, 0.560, 1.230, 8.518
685323.90106, 0.321, 1.134, 8.987
685323.92088, 0.383, 1.173, 8.810
685323.94150, 0.330, 1.311, 8.374
685323.96239, 0.378, 1.355, 8.944
685323.98113, 0.498, 1.134, 9.030
685324.00107, 0.651, 1.335, 8.729
685324.02072, 0.230, 1.173, 8.274
685324.04124, 0.211, 1.355, 8.173
685324.06235, 0.335, 1.441, 7.728
685324.08082, 0.235, 1.340, 7.005
685324.10079, 0.512, 1.651, 6.358
685324.12082, 0.637, 1.896, 6.047
685324.14049, 0.321, 1.747, 6.497
685324.16076, 0.292, 1.814, 7.263
685324.18186, 0.517, 1.714, 8.125
685324.20017, 0.608, 1.613, 8.863
685324.22035, 0.646, 1.690, 8.504
685324.24083, 0.642, 1.584, 8.887
685324.26149, 0.953, 1.355, 10.199
685324.28166, 0.790, 1.589, 10.180
685324.30027, 0.579, 1.374, 9.868
685324.32014, 0.536, 1.714, 9.380
685324.34007, 0.101, 1.584, 10.443
685324.36023, 0.124, 1.742, 11.085
685324.38118, -0.110, 1.642, 11.219
685324.39972, -0.297, 1.642, 11.075
685324.42009, -0.388, 2.015, 10.769
685324.43986, -0.144, 2.288, 10.242
685324.45983, -0.584, 2.125, 10.754
685324.48145, -1.279, 1.718, 11.650
685324.49992, -0.924, 1.857, 12.066
685324.51969, -0.364, 2.082, 11.841
685324.53984, -0.340, 2.681, 9.792
685324.55993, -0.484, 2.872, 8.815
685324.57979, -0.350, 2.001, 9.480
685324.59962, -0.225, 1.766, 10.194
685324.61943, 0.158, 1.580, 10.271
685324.63950, 0.522, 1.532, 9.385
685324.65956, 0.421, 1.580, 7.709
685324.67952, -0.048, 1.345, 6.741
685324.69929, 0.153, 1.364, 7.187
685324.71935, -0.077, 1.359, 7.216
685324.73925, -0.220, 1.489, 7.388
685324.75917, 0.010, 1.762, 6.378
685324.78081, 0.038, 1.575, 5.592
685324.80023, -0.019, 1.589, 6.200
685324.81907, 0.005, 1.532, 7.374
685324.83936, 0.000, 1.589, 8.499
685324.85925, -0.057, 1.508, 8.245
685324.88030, 0.081, 1.580, 6.574
685324.90017, 0.201, 1.814, 6.363
685324.91875, -0.105, 1.709, 7.335
685324.93892, 0.182, 1.445, 9.648
685324.95898, 0.551, 1.450, 12.473
685324.97887, 0.397, 2.169, 11.362
685324.99943, 0.134, 2.623, 10.026
685325.01877, -0.704, 2.111, 11.008
685325.03861, -0.326, 1.168, 12.612
685325.05885, 0.824, 0.579, 14.456
685325.07985, 0.761, 0.770, 13.541
685325.09955, 0.536, 1.058, 10.998
685325.11831, 0.249, 1.010, 10.941
685325.13855, 0.263, 0.924, 11.300
685325.15863, 0.292, 1.015, 10.567
685325.17975, 0.129, 1.350, 9.394
685325.19959, -0.345, 1.302, 9.021
685325.21808, -0.249, 1.144, 9.749
685325.23849, 0.139, 0.871, 10.309
685325.25860, 0.378, 1.096, 9.935
685325.27956, 0.627, 1.168, 9.495
685325.29930, 0.680, 1.197, 8.791
685325.31800, 0.397, 1.096, 8.767
685325.33798, 0.397, 1.211, 8.891
685325.35821, 0.464, 1.149, 8.216
685325.37793, 0.527, 1.058, 7.369
685325.39927, 0.474, 1.235, 7.302
685325.41769, 0.340, 1.177, 7.216
685325.43805, 0.460, 1.072, 7.757
685325.45796, 0.302, 0.847, 7.809
685325.47914, 0.249, 0.861, 8.221
685325.49927, 0.067, 0.813, 8.288
685325.51748, 0.096, 0.813, 7.690
685325.53755, 0.153, 0.732, 7.235
685325.55801, -0.038, 0.924, 7.685
