TIME, X, Y, Z
720426.39599, -0.201, 2.236, 9.409
720426.41599, -0.201, 2.236, 9.409
720426.43599, -0.201, 2.236, 9.409
720426.45599, -0.201, 2.236, 9.409
720426.47541, -0.201, 2.236, 9.409
720426.49639, -0.177, 2.312, 9.231
720426.51641, -0.034, 2.082, 9.638
720426.53622, 0.187, 1.833, 9.117
720426.55621, 0.120, 2.049, 8.695
720426.57634, -0.287, 2.192, 9.073
720426.59616, -0.316, 2.058, 9.236
720426.61665, -0.067, 2.269, 9.188
720426.63645, -0.067, 2.082, 9.275
720426.65602, 0.077, 1.924, 9.275
720426.67598, 0.182, 2.054, 9.208
720426.69606, 0.014, 2.221, 9.126
720426.71588, -0.201, 2.063, 9.294
720426.73584, -0.139, 1.795, 9.327
720426.75602, 0.010, 1.996, 9.437
720426.77584, -0.005, 2.140, 9.437
720426.79570, -0.182, 2.030, 9.318
720426.81585, -0.081, 1.996, 9.246
720426.83561, 0.101, 2.279, 8.513
720426.85569, -0.297, 2.250, 8.231
720426.87574, -0.536, 2.188, 8.465
720426.89560, -0.599, 2.212, 8.695
720426.91572, -0.551, 2.154, 8.891
720426.93574, -0.388, 2.221, 8.954
720426.95593, 0.034, 2.240, 9.140
720426.97575, 0.081, 2.475, 9.140
720426.99588, -0.187, 2.312, 8.978
720427.01566, -0.192, 2.322, 8.398
720427.03554, -0.201, 2.389, 8.288
720427.05577, -0.263, 2.422, 8.384
720427.07537, 0.053, 2.528, 8.662
720427.09543, -0.091, 2.370, 9.313
720427.11555, -0.354, 2.173, 9.749
720427.13540, -0.479, 2.044, 10.026
720427.15546, -0.508, 2.044, 9.528
720427.17548, -0.101, 2.346, 9.557
720427.19522, -0.192, 2.149, 10.208
720427.21526, -0.555, 1.517, 10.591
720427.23531, -0.292, 1.560, 10.721
720427.25492, -0.067, 2.078, 10.041
720427.27519, 0.005, 1.910, 9.519
720427.29530, -0.172, 1.627, 9.514
720427.31545, 0.230, 1.522, 9.581
720427.33498, 0.302, 1.426, 9.897
720427.35511, 0.158, 1.019, 11.080
720427.37497, 0.292, 0.684, 12.109
720427.39492, 0.316, 0.622, 11.568
720427.41589, 0.383, 0.828, 9.864
720427.43476, 0.512, 1.201, 8.293
720427.45452, 0.766, 1.168, 8.053
720427.47469, 0.675, 1.101, 8.413
720427.49473, 0.541, 0.971, 9.322
720427.51462, 0.297, 1.086, 9.375
720427.53476, 0.187, 1.091, 9.059
720427.55432, -0.038, 1.364, 8.044
720427.57537, 0.134, 1.556, 7.862
720427.59455, 0.072, 1.493, 8.322
720427.61499, 0.206, 1.570, 8.681
720427.63435, 0.230, 1.604, 8.820
720427.65436, 0.297, 1.369, 8.317
720427.67412, 0.120, 1.201, 8.437
720427.69421, 0.441, 1.321, 9.260
720427.71452, 0.632, 1.551, 10.079
720427.73411, 0.383, 1.513, 10.055
720427.75395, 0.105, 1.450, 9.576
720427.77427, 0.101, 1.484, 9.059
720427.79433, 0.144, 1.589, 9.112
720427.81489, 0.196, 1.575, 10.419
720427.83412, 0.670, 1.584, 11.630
720427.85372, 0.690, 1.378, 12.215
720427.87389, 0.062, 1.096, 11.985
720427.89424, 0.230, 1.359, 11.693
720427.91371, 0.488, 1.723, 11.377
720427.93370, 0.541, 1.738, 11.487
720427.95361, 0.072, 1.331, 10.941
720427.97339, -0.359, 1.038, 10.496
720427.99333, -0.220, 0.708, 10.591
720428.01332, 0.278, 0.574, 11.243
720428.03339, 0.436, 0.378, 12.143
720428.05324, 0.048, 0.291, 11.420
720428.07343, -0.259, 0.416, 10.271
720428.09317, -0.201, 0.339, 9.308
720428.11448, 0.153, 0.402, 9.284
720428.13315, -0.038, 0.291, 9.816
720428.15300, -0.225, 0.167, 9.600
720428.17302, -0.412, 0.138, 8.939
720428.19302, -0.062, 0.287, 8.159
720428.21411, 0.101, 0.766, 8.188
720428.23304, -0.153, 0.651, 8.484
720428.25296, -0.129, 0.574, 8.920
720428.27307, -0.316, 0.540, 8.216
720428.29298, 0.211, 0.766, 7.752
720428.31400, 0.388, 0.981, 6.995
720428.33285, 0.417, 1.000, 6.646
720428.35256, 0.077, 1.029, 7.072
720428.37307, 0.153, 0.857, 7.383
720428.39262, 0.263, 0.971, 7.503
720428.41367, 0.134, 1.115, 7.551
720428.43281, -0.441, 0.909, 7.646
720428.45236, -0.393, 0.976, 8.642
720428.47263, -0.287, 1.220, 9.533
720428.49256, -0.369, 1.311, 9.844
720428.51271, -0.177, 1.340, 10.769
720428.53242, -0.412, 1.067, 11.463
720428.55235, -0.517, 1.015, 12.808
720428.57249, -0.412, 1.182, 11.822
720428.59210, -0.148, 1.450, 11.051
720428.61345, 0.479, 1.441, 10.371
720428.63220, 0.575, 1.240, 10.390
720428.65194, 0.613, 0.890, 11.908
720428.67235, 0.613, 0.320, 13.311
720428.69222, 0.766, -0.226, 13.460
720428.71304, 1.111, 0.033, 11.549
720428.73215, 0.833, 0.416, 9.346
720428.75180, 0.584, 0.598, 7.977
720428.77211, 0.627, 0.785, 8.173
720428.79208, 0.522, 0.699, 8.470
720428.81276, 0.306, 0.402, 8.422
720428.83174, 0.383, 0.421, 8.441
720428.85163, 0.685, 0.756, 7.752
720428.87180, 0.417, 0.914, 8.039
720428.89167, 0.048, 0.679, 8.700
720428.91204, -0.192, 0.737, 8.235
720428.93163, -0.101, 0.708, 7.742
720428.95133, 0.330, 0.967, 6.899
720428.97178, 0.575, 1.225, 5.956
720428.99119, 0.168, 1.182, 6.598
720429.01113, -0.077, 1.240, 7.445
720429.03122, -0.373, 1.077, 7.062
720429.05110, -0.091, 1.355, 7.445
720429.07135, 0.321, 1.527, 8.398
720429.09118, 0.316, 1.455, 9.126
720429.11131, 0.010, 1.283, 9.413
720429.13125, -0.096, 1.015, 10.170
720429.15109, 0.383, 1.197, 11.156
720429.17112, 0.417, 1.244, 12.895
720429.19077, 0.685, 1.082, 13.598
720429.21209, 0.939, 0.751, 12.464
720429.23091, 0.637, 0.684, 11.065
720429.25066, 0.426, 0.737, 10.745
720429.27110, 0.752, 1.268, 10.749
720429.29094, 0.733, 1.201, 10.725
720429.31176, 0.488, 0.402, 11.453
720429.33096, 0.096, -0.580, 12.828
720429.35058, 0.311, -0.523, 13.144
720429.37073, 0.493, 0.133, 10.510
720429.39070, 0.081, 0.483, 7.670
