TIME, X, Y, Z
720324.55787, 0.014, 2.082, 9.150
720324.57516, 0.153, 2.121, 9.461
720324.59504, 0.177, 2.192, 9.030
720324.61521, 0.153, 2.207, 8.978
720324.63495, 0.153, 2.221, 8.935
720324.65498, 0.034, 2.135, 9.356
720324.67518, 0.043, 2.149, 9.255
720324.69482, 0.081, 2.125, 9.246
720324.71497, 0.215, 2.226, 9.208
720324.73495, 0.053, 2.269, 9.270
720324.75482, 0.019, 2.260, 9.121
720324.77466, -0.005, 2.173, 9.351
720324.79517, 0.029, 2.169, 9.351
720324.81470, -0.010, 2.250, 9.083
720324.83466, -0.139, 2.183, 8.805
720324.85476, 0.010, 2.169, 8.786
720324.87448, -0.091, 2.279, 8.968
720324.89453, -0.153, 2.374, 8.714
720324.91460, -0.072, 2.322, 8.705
720324.93451, -0.192, 2.379, 9.016
720324.95447, -0.316, 2.408, 9.184
720324.97454, -0.436, 2.499, 9.504
720324.99435, -0.450, 2.528, 9.524
720325.01429, -0.316, 2.671, 9.490
720325.03435, -0.158, 2.652, 9.203
720325.05442, 0.086, 2.710, 8.676
720325.07460, 0.096, 2.681, 8.475
720325.09476, 0.124, 2.743, 8.350
720325.11472, 0.091, 2.609, 8.508
720325.13438, 0.096, 2.743, 8.882
720325.15447, -0.321, 2.398, 8.992
720325.17417, -0.177, 2.734, 9.313
720325.19412, -0.603, 2.681, 9.021
720325.21401, -0.273, 2.954, 9.255
720325.23419, -0.311, 2.714, 9.121
720325.25427, -0.622, 2.518, 9.682
720325.27418, -0.297, 3.021, 9.480
720325.29377, -0.211, 3.112, 8.959
720325.31370, -0.091, 3.150, 8.949
720325.33386, -0.728, 2.504, 9.049
720325.35374, -0.503, 2.590, 9.768
720325.37336, -0.134, 2.647, 10.113
720325.39344, -0.211, 2.327, 10.026
720325.41356, -0.350, 2.451, 9.619
720325.43351, 0.019, 2.317, 10.060
720325.45385, -0.120, 2.197, 10.462
720325.47354, -0.666, 2.020, 9.672
720325.49347, -0.086, 1.958, 9.758
720325.51349, 0.067, 1.857, 10.247
720325.53327, -0.168, 1.771, 10.160
720325.55327, -0.072, 1.718, 10.213
720325.57342, 0.187, 1.551, 10.060
720325.59311, 0.177, 1.335, 9.749
720325.61310, 0.488, 1.307, 9.246
720325.63329, 0.158, 1.163, 9.093
720325.65296, 0.551, 1.297, 8.719
720325.67292, 0.804, 1.455, 8.700
720325.69305, 1.049, 1.331, 8.954
720325.71271, 1.537, 1.254, 8.959
720325.73268, 1.906, 0.646, 8.077
720325.75269, 1.384, 0.560, 7.527
720325.77253, 1.015, 1.393, 8.551
720325.79250, 0.757, 1.287, 9.796
720325.81262, 0.982, 0.813, 9.442
720325.83276, 1.240, 0.689, 8.767
720325.85234, 1.216, 1.072, 8.939
720325.87255, 0.718, 1.283, 8.456
720325.89234, 0.397, 1.436, 8.346
720325.91226, 0.148, 1.541, 8.671
720325.93246, 0.172, 1.431, 8.882
720325.95221, 0.225, 1.484, 9.236
720325.97209, 0.287, 1.599, 9.140
720325.99233, 0.201, 1.766, 8.906
720326.01221, 0.144, 1.843, 8.609
720326.03202, 0.168, 1.967, 9.342
720326.05211, 0.211, 1.910, 9.246
720326.07187, 0.326, 1.800, 8.475
720326.09193, 0.369, 1.915, 8.144
720326.11208, 0.412, 2.102, 7.991
720326.13190, 0.239, 2.106, 7.579
720326.15182, 0.148, 1.996, 7.086
720326.17195, 0.263, 1.776, 7.072
720326.19176, 0.115, 2.034, 7.656
720326.21265, 0.134, 2.432, 7.785
720326.23199, 0.220, 2.169, 7.828
720326.25168, 0.215, 1.953, 7.934
720326.27180, 0.235, 1.833, 7.929
720326.29202, 0.268, 1.972, 7.666
720326.31162, 0.522, 1.766, 7.632
720326.33168, 0.661, 1.522, 8.508
720326.35190, 0.733, 1.302, 9.753
720326.37164, 0.182, 1.426, 10.338
