ID, X, Y, Z
518480.98237, -0.110, -0.092, 9.413
518481.00347, -0.124, -0.101, 9.433
518481.02227, -0.038, -0.125, 9.466
518481.04234, -0.043, -0.221, 9.538
518481.06336, -0.139, -0.245, 9.662
518481.08215, -0.115, -0.106, 9.370
518481.10230, -0.144, -0.163, 9.370
518481.12317, -0.043, -0.163, 9.370
518481.14204, -0.110, -0.221, 9.409
518481.16202, -0.029, -0.077, 9.322
518481.18328, -0.101, -0.096, 9.313
518481.20199, -0.077, -0.173, 9.294
518481.22196, -0.043, -0.278, 9.476
518481.24301, -0.057, -0.211, 9.428
518481.26179, -0.110, -0.154, 9.447
518481.28179, -0.067, -0.221, 9.576
518481.30282, -0.101, -0.096, 9.332
518481.32168, -0.057, -0.135, 9.543
518481.34167, -0.101, -0.183, 9.466
518481.36283, -0.072, -0.048, 9.351
518481.38166, -0.038, -0.163, 9.437
518481.40149, -0.148, -0.111, 9.437
518481.42259, -0.043, -0.144, 9.471
518481.44177, -0.110, -0.111, 9.322
518481.46171, -0.187, -0.144, 9.452
518481.48256, -0.057, -0.173, 9.265
518481.50134, -0.086, -0.111, 9.375
518481.52142, -0.148, -0.106, 9.433
518481.54409, -0.072, -0.092, 9.576
518481.56151, -0.048, -0.149, 9.356
518481.58168, -0.010, -0.163, 9.351
518481.60259, -0.096, -0.149, 9.461
518481.62126, -0.086, -0.116, 9.380
518481.64139, -0.158, -0.163, 9.337
518481.66230, -0.091, -0.087, 9.413
518481.68116, -0.077, -0.044, 9.212
518481.70114, -0.129, -0.120, 9.284
518481.72220, -2.519, 0.469, 9.624
518481.74091, -3.524, -0.226, 9.480
518481.76102, -4.080, -0.159, 9.294
518481.78275, -3.539, -0.331, 9.552
518481.80069, -3.213, -1.193, 9.634
518481.82068, -1.480, -1.605, 9.327
518481.84163, 2.974, -0.752, 9.710
518481.86051, 7.374, -0.360, 9.667
518481.88050, 12.234, 2.336, 9.643
518481.90147, 12.589, -0.503, 9.495
518481.92042, 15.428, 1.479, 10.136
518481.94038, 10.788, 0.857, 10.180
518481.96133, -1.302, -2.371, 9.605
518481.98029, -7.441, -3.448, 9.758
518482.00029, -14.049, -1.868, 9.480
518482.02134, -19.613, -3.171, 9.634
518482.04031, -12.617, -1.140, 10.132
518482.06030, -18.220, -2.179, 9.629
518482.08107, -13.001, -2.562, 8.939
518482.09998, -1.614, -1.763, 9.543
518482.12004, 8.217, -1.777, 8.954
518482.14099, 16.855, -1.088, 9.514
518482.15991, 19.613, 0.785, 10.069
518482.17992, 15.605, -0.168, 10.749
518482.20085, 18.569, 0.957, 8.446
518482.21980, 13.786, 0.301, 9.452
518482.24009, 1.666, -2.931, 9.787
518482.26073, -11.281, -3.582, 9.816
518482.27964, -19.613, -3.467, 9.188
518482.29962, -19.613, -0.997, 9.739
518482.32057, -19.613, -1.131, 9.720
518482.33949, -19.613, -3.491, 9.270
518482.35964, -10.645, -4.056, 8.638
518482.38042, 10.803, -2.620, 9.380
518482.39937, 19.613, -1.217, 9.854
518482.41941, 19.613, -0.125, 9.954
518482.44042, 19.149, 1.819, 10.476
518482.45933, 18.593, -0.278, 8.944
518482.47939, 12.426, -0.767, 10.462
518482.50036, -2.796, -4.272, 8.355
518482.51930, -18.033, -3.601, 10.467
518482.53929, -19.613, -2.074, 9.840
518482.56015, -9.347, 1.436, 8.556
518482.57907, -14.609, 2.125, 9.734
518482.59907, -15.179, -1.801, 8.848
518482.62005, -7.302, -3.367, 9.686
518482.63904, 3.792, -2.289, 9.030
518482.65901, 13.819, -0.599, 9.327
518482.67998, 18.234, -1.260, 9.543
518482.69900, 12.330, -0.312, 10.448
518482.72112, 14.547, -1.533, 9.581
518482.74163, 12.110, -0.781, 9.136
518482.75892, 1.135, -3.472, 10.031
518482.77861, -5.133, -2.218, 8.724
518482.79966, -9.438, 0.555, 9.193
518482.81855, -18.694, -0.379, 9.169
518482.83849, -12.507, -1.432, 9.011
518482.85937, -16.491, -0.877, 10.026
518482.87851, -16.395, -3.769, 9.495
518482.89843, -4.003, -2.993, 9.203
518482.92232, 13.748, -2.414, 9.744
518482.93846, 19.613, -0.336, 10.218
518482.95839, 18.052, -1.662, 8.997
518482.97944, 19.613, 1.800, 9.131
518482.99853, 18.397, -0.494, 9.461
518483.01826, 2.145, -2.821, 8.959
518483.03921, -14.585, -4.348, 9.375
518483.05813, -19.613, -5.110, 9.428
518483.07822, -19.613, -1.571, 9.294
518483.09987, -19.613, -1.279, 9.117
518483.11801, -19.613, -3.692, 9.907
518483.13794, -8.643, -5.292, 9.849
518483.15890, 15.002, -4.779, 8.666
518483.17797, 19.613, -2.280, 9.605
518483.19793, 19.613, 1.321, 10.563
518483.21886, 19.613, -0.781, 8.915
518483.23776, 19.613, 0.057, 9.629
518483.25774, 9.328, -1.279, 9.346
518483.27878, -7.930, -3.573, 9.145
518483.29765, -19.613, -5.771, 9.361
518483.31764, -19.613, -3.223, 9.552
518483.33856, -19.613, -2.036, 8.820
518483.35751, -19.613, -1.964, 10.500
518483.37758, -17.099, -5.747, 10.117
518483.39850, 6.153, -5.019, 9.849
518483.41743, 19.613, -2.227, 9.796
518483.43739, 19.613, -1.710, 9.868
518483.45835, 19.613, -0.001, 8.662
518483.47730, 19.613, 2.034, 9.921
518483.49727, 19.613, -0.326, 8.848
518483.51820, 4.530, -2.893, 9.773
518483.53714, -13.891, -4.310, 8.221
518483.55711, -19.613, -6.350, 9.854
518483.57814, -19.613, -2.673, 8.331
518483.59702, -19.613, -2.131, 9.366
518483.61700, -19.613, -4.416, 9.342
518483.63794, -13.455, -4.875, 9.193
518483.65687, 3.874, -4.368, 9.567
518483.67697, 19.613, -1.854, 8.815
518483.69783, 19.613, -0.690, 9.366
518483.71675, 19.613, 6.923, 11.262
518483.73673, 19.613, 1.383, 9.366
518483.75766, 19.613, -0.839, 8.997
518483.77671, 12.316, -2.457, 9.337
518483.79661, -4.750, -3.295, 9.844
518483.81761, -19.613, -5.464, 9.720
518483.83651, -19.613, -5.660, 9.298
518483.85647, -19.613, -2.424, 9.356
518483.87746, -19.613, -5.584, 9.576
518483.89638, -18.378, -7.169, 9.231
518483.91637, 5.871, -5.866, 9.878
518483.93731, 19.613, -3.041, 9.332
518483.95625, 19.613, -2.079, 10.156
518483.97633, 19.613, 4.726, 11.171
518483.99721, 19.613, 1.565, 9.562
518484.01609, 19.613, -0.733, 9.998
518484.03610, 10.195, -3.463, 10.108
518484.05704, -12.761, -5.613, 9.002
518484.07611, -19.613, -7.016, 9.610
518484.09601, -19.613, -3.989, 9.840
518484.11692, -19.613, -2.922, 10.180
518484.13586, -19.613, -7.150, 8.863
518484.15586, -8.523, -7.566, 10.127
518484.17690, 13.206, -6.580, 8.949
518484.19573, 19.613, -2.926, 9.677
518484.21575, 19.613, 1.335, 9.959
518484.23670, 19.613, 1.225, 7.958
518484.25558, 19.613, 0.569, 10.184
518484.27568, 11.952, -3.434, 10.227
518484.29657, -14.700, -5.153, 9.571
518484.31548, -19.613, -6.953, 9.456
518484.33546, -19.613, -6.317, 9.500
518484.35652, -19.613, -2.984, 10.136
518484.37542, -19.613, -7.983, 9.878
518484.39535, -7.092, -6.977, 8.868
518484.41633, 13.369, -5.895, 10.146
518484.43518, 19.613, -1.782, 9.126
518484.45524, 19.613, 1.091, 10.472
518484.47622, 19.613, -4.186, 9.112
518484.49510, 19.613, 0.569, 11.113
518484.51528, 12.301, -3.736, 9.279
518484.53597, -11.258, -5.871, 9.418
518484.55487, -19.613, -8.002, 9.150
518484.57504, -19.613, -6.475, 9.433
518484.59587, -19.613, -0.197, 9.897
518484.61486, -19.613, -8.026, 8.920
518484.63481, -9.802, -6.431, 8.733
518484.65576, 10.247, -6.192, 9.768
518484.67480, 19.613, -2.945, 9.907
518484.69468, 19.613, 1.091, 9.892
518484.71571, 19.613, -0.350, 8.537
518484.73459, 19.613, -0.202, 9.696
518484.75454, 9.840, -3.190, 9.825
518484.77559, -15.768, -7.126, 8.997
518484.79449, -19.613, -7.068, 9.337
518484.81446, -19.613, -9.874, 9.825
518484.83533, -19.613, -6.570, 10.266
518484.85430, -19.613, -8.165, 9.236
518484.87437, -4.113, -6.982, 8.915
518484.89530, 19.613, -7.293, 9.035
518484.91419, 19.613, -2.208, 10.146
518484.93418, 19.613, 6.473, 11.113
518484.95513, 19.613, 1.206, 7.814
518484.97415, 19.613, -3.530, 11.377
518484.99407, -3.405, -7.538, 9.198
518485.01498, -19.613, -9.779, 9.662
518485.03394, -19.613, -6.182, 9.217
518485.05388, -19.613, -2.443, 9.198
518485.07497, -19.613, -8.194, 9.538
518485.09380, -19.216, -9.630, 8.551
518485.11386, 12.009, -9.817, 10.089
518485.13473, 19.613, -3.597, 10.754
518485.15365, 19.613, -2.251, 9.801
518485.17371, 19.613, -5.522, 10.208
518485.19470, 19.613, -5.220, 10.572
518485.21348, -2.514, -8.289, 10.213
518485.23346, -19.613, -7.504, 9.705
518485.25439, -19.613, -4.080, 8.700
518485.27343, -19.613, -2.170, 6.976
518485.29345, -19.613, -5.421, 9.279
518485.31451, -19.613, -7.892, 9.030
518485.33329, 4.410, -9.247, 10.663
518485.35328, 19.613, -4.487, 8.580
518485.37426, 19.613, -1.341, 9.940
518485.39319, 19.613, -6.024, 10.831
518485.41323, 19.613, 0.402, 12.239
518485.43412, 17.880, -6.814, 9.279
518485.45305, -19.613, -8.653, 9.174
518485.47305, -19.613, -7.590, 9.677
518485.49405, -19.613, -5.009, 9.859
518485.51295, -19.613, -4.387, 10.615
