TIME, X, Y, Z
685402.77383, -0.005, 1.757, 9.270
685402.79168, 0.029, 1.747, 9.480
685402.81145, 0.115, 1.656, 9.615
685402.83139, 0.096, 1.728, 9.576
685402.85152, -0.024, 1.795, 9.246
685402.87131, -0.072, 1.881, 8.992
685402.89124, -0.158, 1.867, 9.102
685402.91140, -0.120, 1.824, 9.203
685402.93126, -0.077, 1.905, 9.332
685402.95120, -0.010, 1.977, 9.260
685402.97139, -0.206, 1.939, 9.222
685402.99112, -0.101, 1.939, 8.935
685403.01115, -0.110, 2.020, 9.198
685403.03125, -0.196, 1.905, 8.935
685403.05102, -0.062, 1.967, 9.318
685403.07099, -0.177, 1.972, 9.418
685403.09108, -0.019, 1.929, 9.049
685403.11094, 0.014, 2.106, 8.882
685403.13089, -0.034, 2.135, 8.959
685403.15141, 0.153, 1.939, 9.758
685403.17088, 0.239, 1.795, 9.643
685403.19087, 0.182, 1.881, 9.303
685403.21104, 0.072, 1.991, 8.973
685403.23061, 0.153, 2.082, 9.203
685403.25051, 0.043, 1.958, 9.308
685403.27055, 0.259, 1.977, 9.346
685403.29066, 0.158, 1.867, 9.581
685403.31079, 0.283, 1.991, 9.184
685403.33087, 0.144, 1.924, 8.781
685403.35084, 0.081, 2.087, 8.978
685403.37074, -0.038, 2.102, 9.188
685403.39425, -0.168, 2.011, 9.246
685403.41042, -0.273, 2.178, 8.891
685403.43041, -0.211, 2.145, 8.733
685403.45029, -0.354, 2.360, 8.868
685403.47027, -0.498, 2.250, 8.944
685403.49026, -0.340, 2.183, 9.275
685403.51021, -0.259, 2.240, 8.973
685403.53018, -0.378, 2.202, 8.480
685403.54996, -0.378, 2.408, 8.762
685403.57041, -0.230, 2.216, 9.322
685403.59022, -0.014, 2.346, 9.112
685403.60992, -0.153, 2.336, 9.011
685403.63017, -0.014, 2.470, 8.657
685403.65013, 0.038, 2.403, 8.820
685403.67135, 0.062, 2.307, 8.786
685403.69133, 0.153, 2.456, 8.695
685403.70969, 0.192, 2.667, 8.834
685403.72974, -0.148, 2.561, 8.882
685403.74984, -0.211, 2.403, 9.289
685403.76990, -0.124, 2.403, 9.212
685403.78999, -0.330, 2.159, 9.428
685403.80960, -0.038, 2.518, 9.461
685403.82952, -0.335, 2.341, 9.370
685403.84939, -0.177, 2.159, 9.662
685403.87082, -0.124, 1.924, 10.362
685403.88969, -0.244, 1.876, 10.970
685403.90927, -0.455, 1.910, 10.582
685403.92974, -0.508, 1.709, 10.079
685403.94952, -0.172, 1.513, 9.729
685403.97050, 0.053, 1.450, 9.423
685403.99060, 0.000, 1.642, 9.160
685404.00905, -0.397, 1.474, 9.308
685404.02912, -0.584, 1.158, 9.878
685404.04947, -0.488, 0.766, 10.721
685404.06914, -0.086, 0.646, 10.898
685404.08925, 0.436, 1.000, 9.361
685404.10910, 0.498, 1.225, 8.590
685404.12888, 0.757, 1.460, 8.528
685404.14890, 0.833, 1.465, 9.246
685404.17041, 0.713, 1.393, 9.667
685404.19002, 0.551, 1.067, 9.452
685404.20863, 0.239, 1.249, 9.069
685404.22893, -0.043, 1.513, 8.216
685404.24852, -0.321, 1.704, 7.800
685404.26858, -0.153, 1.853, 8.121
685404.28885, 0.235, 1.838, 8.178
685404.30839, 0.364, 2.178, 8.417
685404.32848, 0.493, 2.178, 8.274
685404.34878, 0.603, 2.011, 8.508
685404.36970, 0.709, 1.924, 9.045
685404.38944, 0.680, 1.790, 9.557
685404.40842, 0.848, 1.948, 9.854
685404.42828, 0.757, 1.963, 9.337
685404.44812, 0.599, 2.169, 8.848
685404.46971, 0.445, 2.044, 8.987
685404.48910, 0.316, 2.145, 9.562
685404.50796, 0.373, 2.082, 9.705
685404.52818, 0.450, 1.996, 9.945
685404.54791, 0.263, 2.058, 9.868
685404.56809, -0.192, 2.011, 9.964
685404.58810, 0.192, 1.675, 11.530
685404.60786, 0.493, 1.718, 12.713
685404.62780, 0.450, 2.030, 12.531
685404.64783, -0.029, 2.082, 11.707
685404.66750, 0.014, 2.073, 11.640
685404.68775, 0.608, 2.049, 11.118
685404.70751, 0.474, 1.824, 10.936
685404.72733, -0.010, 1.910, 10.582
685404.74730, -0.211, 1.565, 10.802
685404.76746, -0.469, 1.326, 11.707
685404.78741, -0.694, 0.957, 12.195
