TIME, X, Y, Z
685242.53576, -1.039, 3.059, 8.398
685242.55526, -1.097, 2.868, 8.274
685242.57551, -0.905, 2.532, 8.949
685242.59523, -0.460, 2.394, 8.710
685242.61512, -0.345, 2.346, 8.513
685242.63531, -0.081, 2.643, 9.557
685242.65504, -0.498, 2.298, 10.299
685242.67500, -0.048, 1.819, 10.098
685242.69508, 0.120, 1.331, 9.610
685242.71500, 0.048, 1.853, 9.231
685242.73488, 0.273, 1.857, 9.332
685242.75526, 0.656, 1.513, 9.840
685242.77483, 0.690, 1.599, 9.581
685242.79488, 0.891, 1.685, 9.768
685242.81508, 0.622, 1.493, 9.298
685242.83478, 0.632, 1.412, 9.413
685242.85487, 0.498, 1.474, 9.452
685242.87479, 0.441, 1.216, 9.246
685242.89472, 0.718, 1.345, 9.682
685242.91467, 0.876, 1.426, 9.777
685242.93545, 0.680, 1.484, 8.820
685242.95454, 0.479, 1.297, 9.423
685242.97465, 0.709, 1.316, 9.433
685242.99484, 0.599, 1.345, 9.442
685243.01458, 0.637, 1.216, 9.212
685243.03437, 0.781, 1.034, 8.968
685243.05498, 0.488, 1.278, 8.604
685243.07450, 0.383, 1.436, 9.471
685243.09456, 0.651, 1.450, 9.931
685243.11480, 0.900, 1.254, 9.768
685243.13422, 0.785, 1.153, 9.327
685243.15426, 0.728, 1.220, 9.054
685243.17467, 0.378, 1.316, 8.915
685243.19561, 0.417, 1.402, 9.193
685243.21439, 0.431, 1.661, 9.040
685243.23414, 0.369, 1.489, 9.136
685243.25408, 0.412, 1.235, 9.490
685243.27431, 0.752, 1.431, 9.935
685243.29536, 0.565, 1.359, 9.749
685243.31384, 0.153, 1.249, 9.638
685243.33382, 0.302, 1.479, 9.260
685243.35405, 0.192, 1.699, 8.973
685243.37397, 0.311, 1.915, 8.930
685243.39391, 0.469, 2.102, 9.318
685243.41383, 0.584, 1.924, 9.131
685243.43365, 0.613, 1.963, 9.069
685243.45360, 0.445, 2.260, 9.026
685243.47357, 0.263, 2.106, 8.968
685243.49353, 0.201, 1.862, 9.504
685243.51329, 0.321, 1.752, 9.500
685243.53343, 0.239, 1.795, 9.346
685243.55342, 0.383, 1.934, 9.035
685243.57345, 0.393, 1.896, 8.580
685243.59347, 0.177, 1.800, 8.896
685243.61322, 0.134, 1.723, 9.615
685243.63320, 0.211, 1.709, 9.619
685243.65344, 0.350, 1.718, 9.547
685243.67300, 0.450, 1.785, 9.011
685243.69426, 0.158, 1.718, 8.231
685243.71328, 0.034, 1.699, 8.978
685243.73295, 0.053, 1.862, 9.528
685243.75299, 0.062, 1.833, 9.533
685243.77292, 0.187, 1.747, 9.011
685243.79372, -0.019, 1.694, 8.992
685243.81274, 0.029, 1.762, 8.887
685243.83300, 0.220, 1.809, 9.255
685243.85279, 0.417, 1.790, 9.715
685243.87260, 0.527, 1.733, 9.576
685243.89277, 0.359, 1.800, 9.140
685243.91368, 0.326, 1.718, 8.982
685243.93249, 0.527, 1.675, 9.643
685243.95298, 0.330, 1.465, 10.496
685243.97246, 0.397, 1.445, 10.773
685243.99418, 0.302, 1.297, 10.879
685244.01333, 0.369, 1.144, 10.476
685244.03227, 0.306, 1.177, 10.400
685244.05236, 0.072, 1.201, 10.242
685244.07239, 0.163, 1.259, 10.108
685244.09213, 0.134, 1.287, 10.357
685244.11204, -0.134, 1.029, 11.199
685244.13202, 0.373, 0.933, 10.773
685244.15187, -0.024, 0.584, 10.227
685244.17204, 0.010, 0.627, 10.323
685244.19555, 0.057, 0.196, 11.453
685244.21171, -0.105, -0.221, 12.104
685244.23196, -0.239, -0.527, 11.927
685244.25208, -0.120, -0.465, 11.822
685244.27182, 0.148, -0.561, 10.955
685244.29287, 0.134, -0.882, 10.002
685244.31298, 0.105, -1.217, 10.309
685244.33179, 0.048, -1.212, 10.658
685244.35193, -0.263, -0.968, 9.806
685244.37192, -0.512, -0.824, 9.203
685244.39142, -0.627, -0.441, 9.035
685244.41313, -0.661, -0.197, 8.528
685244.43175, -0.555, -0.135, 8.508
685244.45147, -0.359, 0.033, 8.322
685244.47115, -0.393, 0.196, 8.192
685244.49156, -0.239, 0.220, 7.867
685244.51129, -0.244, 0.277, 7.541
685244.53107, -0.096, 0.502, 7.048
685244.55159, 0.000, 0.545, 7.129
685244.57102, 0.431, 0.699, 8.116
685244.59301, 0.316, 0.584, 8.173
685244.61134, -0.024, 0.550, 7.618
685244.63104, -0.254, 0.766, 7.397
685244.65104, -0.096, 0.847, 8.159
685244.67136, -0.134, 0.852, 8.111
685244.69336, 0.000, 1.072, 7.776
685244.71122, -0.144, 1.005, 7.642
685244.73111, -0.091, 1.139, 7.800
685244.75083, -0.101, 1.216, 8.609
685244.77091, 0.010, 1.273, 8.772
