ID, X, Y, Z
512828.28551, 0.302, 2.169, 9.064
512828.30636, 0.345, 2.078, 9.753
512828.32528, 0.350, 2.255, 9.629
512828.34528, 0.330, 2.365, 9.222
512828.36629, 0.335, 2.279, 9.093
512828.38521, 0.254, 2.307, 8.997
512828.40506, 0.426, 2.437, 9.064
512828.42615, 0.503, 2.580, 9.021
512828.44506, 0.326, 2.465, 9.303
512828.46503, 0.436, 2.279, 9.591
512828.48603, 0.637, 2.298, 9.059
512828.50492, 0.713, 2.561, 8.676
512828.52491, 0.479, 2.188, 9.495
512828.54590, 0.637, 2.135, 9.346
512828.56486, 0.637, 2.365, 8.906
512828.58484, 0.536, 2.370, 8.915
512828.60579, 0.359, 2.097, 9.409
512828.62474, 0.340, 1.896, 9.361
512828.64472, 0.091, 1.853, 9.212
512828.66576, 0.220, 1.963, 9.227
512828.68463, -0.005, 2.006, 9.576
512828.70486, 0.158, 1.987, 9.615
512828.72578, 0.187, 2.001, 9.610
512828.74454, 0.163, 2.159, 8.911
512828.76449, 0.139, 2.130, 8.633
512828.78539, -0.043, 2.063, 9.054
512828.80461, 0.249, 2.121, 9.208
512828.82454, 0.512, 2.303, 9.284
512828.84553, 0.397, 2.422, 8.829
512828.86460, 0.455, 2.283, 9.078
512828.88448, 0.378, 2.140, 9.251
512828.90542, 0.259, 2.226, 9.289
512828.92440, 0.244, 2.030, 9.461
512828.94417, 0.364, 1.790, 10.103
512828.96520, 0.345, 1.647, 9.701
512828.98423, 0.460, 1.819, 9.988
512829.00425, 0.675, 2.192, 9.964
512829.02545, 0.206, 2.480, 8.212
512829.04394, -0.182, 2.561, 7.637
512829.06429, -0.244, 2.403, 7.723
512829.08496, -0.532, 2.418, 8.987
512829.10405, 0.000, 2.600, 9.715
512829.12409, 0.421, 2.015, 10.127
512829.14472, 0.005, 2.015, 9.849
512829.16394, 0.306, 2.298, 9.217
512829.18395, 0.656, 2.178, 8.710
512829.20587, 0.642, 2.149, 8.748
512829.22377, 0.407, 2.365, 9.169
512829.24356, 0.551, 2.264, 9.729
512829.26460, 0.608, 1.939, 8.992
512829.28379, 0.718, 1.943, 8.891
512829.30353, 0.551, 2.288, 8.954
512829.32476, 0.158, 2.260, 9.117
512829.34331, 0.330, 2.432, 8.796
512829.36331, 0.373, 2.221, 8.609
512829.38465, -0.010, 2.212, 8.561
512829.40315, -0.067, 2.327, 8.106
512829.42317, -0.187, 2.820, 8.188
512829.44446, -0.235, 2.810, 8.700
512829.46299, -0.115, 3.002, 9.083
512829.48294, -0.694, 2.781, 8.748
512829.50373, -0.508, 2.652, 9.878
512829.52271, 0.235, 3.121, 9.940
512829.54265, 0.244, 2.872, 8.714
512829.56367, 0.153, 2.643, 7.948
512829.58292, 0.259, 2.844, 7.872
512829.60262, 0.101, 2.949, 8.920
512829.62372, 0.187, 2.614, 9.476
512829.64259, 0.010, 2.561, 9.528
512829.66277, -0.460, 2.432, 9.169
512829.68359, -0.474, 2.643, 9.543
512829.70240, -0.431, 2.518, 9.825
512829.72245, -0.249, 2.576, 9.777
512829.74362, -0.249, 2.456, 9.926
512829.76266, -0.503, 2.341, 10.203
512829.78240, -0.532, 2.082, 10.716
512829.80328, -0.086, 2.015, 10.639
512829.82227, -0.043, 2.374, 10.357
512829.84218, -0.211, 2.092, 10.247
512829.86307, -0.498, 1.666, 10.486
512829.88211, 0.038, 0.900, 11.176
512829.90205, 0.043, 0.785, 11.439
512829.92307, 0.024, 0.593, 11.199
512829.94193, 0.283, 0.751, 10.381
512829.96189, 0.254, 0.991, 9.049
512829.98287, 0.215, 0.823, 8.302
512830.00196, 0.096, 0.861, 8.408
512830.02190, 0.287, 1.273, 8.714
512830.04282, 0.259, 1.369, 8.202
512830.06183, 0.546, 1.273, 8.053
512830.08196, 0.335, 1.201, 8.700
512830.10272, 0.105, 1.225, 9.002
512830.12184, 0.163, 1.369, 9.093
512830.14184, 0.364, 1.522, 8.518
512830.16269, 0.378, 1.766, 7.752
512830.18186, 0.297, 1.733, 8.073
512830.20194, 0.555, 1.891, 8.590
512830.22400, 0.407, 1.943, 8.379
512830.24162, 0.239, 2.001, 8.250
512830.26140, 0.479, 2.164, 7.915
512830.28278, 0.498, 2.408, 8.188
512830.30178, 0.608, 2.116, 8.786
512830.32277, 0.488, 2.226, 9.667
512830.34217, 0.551, 2.255, 9.543
512830.36116, 0.713, 2.231, 9.308
512830.38145, 0.886, 2.279, 9.366
512830.40261, 0.824, 2.413, 9.811
512830.42163, 0.776, 2.403, 9.954
512830.44481, 0.723, 2.389, 10.271
512830.46223, 0.814, 2.303, 9.883
512830.48096, 0.632, 2.317, 9.792
512830.50100, 0.239, 2.307, 10.433
512830.52229, 0.397, 2.303, 10.486
512830.54279, 0.498, 2.116, 9.658
512830.56063, 0.364, 2.183, 9.064
512830.58175, 0.273, 2.159, 9.547
512830.60096, 0.460, 2.384, 9.978
512830.62082, -0.512, 1.747, 10.639
512830.64306, -0.474, 0.655, 11.966
512830.66040, -0.096, 0.430, 12.358
512830.68057, 0.201, 0.794, 11.099
512830.70145, 0.057, 0.612, 9.361
512830.72045, -0.359, 0.512, 8.743
512830.74166, -0.417, 0.991, 8.925
512830.76121, -0.469, 1.038, 8.288
512830.78037, -0.455, 1.043, 7.330
512830.80093, -0.158, 0.981, 7.584
512830.82245, 0.005, 1.134, 7.685
512830.84122, -0.053, 1.077, 8.341
512830.86005, 0.239, 1.058, 8.839
512830.88119, 0.450, 1.326, 8.595
512830.90050, 0.268, 1.469, 8.417
512830.91987, -0.043, 1.546, 8.393
512830.94119, -0.292, 1.503, 8.547
512830.95983, -0.129, 1.747, 8.633
512830.98000, -0.010, 1.943, 8.810
512831.00093, -0.225, 2.039, 8.480
512831.02012, -0.220, 1.943, 8.767
512831.04138, -0.287, 1.953, 8.628
512831.06069, -0.053, 2.173, 8.355
512831.07975, -0.196, 2.485, 8.235
512831.09954, -0.163, 2.690, 8.451
512831.12110, -0.215, 2.714, 9.279
512831.13974, -0.225, 2.566, 9.337
512831.15936, -0.287, 2.413, 9.456
512831.18051, -0.306, 2.336, 9.983
512831.19933, -0.239, 2.556, 10.357
512831.21985, -0.287, 2.365, 10.203
512831.24038, -0.283, 2.015, 10.496
512831.25919, -0.043, 2.130, 10.697
512831.27941, 0.215, 2.858, 10.041
512831.30024, 0.043, 2.643, 9.844
512831.31892, 0.053, 1.661, 10.443
512831.33903, -0.024, 0.737, 11.726
512831.36014, 0.201, 0.105, 12.746
512831.37895, 0.373, 0.248, 11.468
512831.39897, 0.330, 0.512, 9.394
512831.41982, 0.158, 0.617, 8.638
512831.43993, 0.211, 0.502, 9.356
512831.45898, 0.105, 0.497, 9.121
512831.47975, 0.211, 0.694, 8.815
512831.49895, 0.072, 0.789, 8.518
512831.51857, 0.316, 0.837, 8.547
512831.54075, 0.249, 0.837, 8.599
512831.55874, 0.081, 0.909, 8.513
512831.57855, -0.120, 0.971, 8.226
512831.59981, -0.201, 1.115, 8.437
512831.61836, -0.062, 1.125, 8.245
512831.63866, 0.096, 1.168, 7.953
512831.65966, 0.072, 1.359, 7.958
512831.67833, 0.172, 1.584, 7.967
512831.69826, 0.168, 1.671, 8.336
512831.71960, 0.168, 1.546, 8.896
512831.73804, 0.378, 1.570, 9.452
512831.75824, 0.479, 1.714, 9.792
512831.77929, 0.441, 1.833, 9.313
512831.79844, 0.383, 2.020, 9.428
512831.81791, 0.306, 2.140, 9.456
512831.84009, 0.230, 1.967, 9.782
512831.85788, -0.067, 1.943, 10.381
512831.87796, -0.148, 1.915, 10.759
512831.89910, -0.431, 1.886, 10.352
512831.91786, -0.034, 2.351, 9.399
512831.93911, 0.019, 2.662, 8.824
512831.95888, -0.283, 1.872, 9.911
512831.97776, -0.244, 0.622, 11.405
512831.99808, -0.259, -0.192, 13.067
512832.02001, 0.354, 0.253, 12.085
512832.03861, -0.192, 0.560, 9.729
512832.05739, -0.369, 0.679, 8.633
512832.07862, -0.412, 0.746, 8.575
512832.09788, -0.436, 0.775, 8.686
512832.11758, -0.570, 0.833, 8.815
512832.13882, -0.388, 0.794, 8.389
512832.15756, -0.077, 0.962, 7.919
512832.17729, -0.101, 0.904, 8.082
512832.19824, -0.081, 1.043, 8.216
512832.21753, 0.072, 1.206, 8.379
512832.23909, -0.120, 1.225, 7.972
512832.25851, -0.225, 1.321, 7.809
512832.27708, -0.536, 1.244, 7.819
512832.29706, -0.455, 1.292, 8.446
512832.31857, -0.393, 1.489, 9.366
512832.33838, -0.436, 1.445, 9.260
512832.35678, -0.330, 1.498, 9.461
512832.37798, -0.306, 1.690, 8.619
512832.39679, -0.335, 1.876, 8.461
512832.41714, -0.378, 1.924, 9.150
512832.43925, -0.335, 1.943, 9.768
512832.45654, -0.373, 2.054, 9.993
512832.47672, -0.302, 2.097, 9.945
512832.49768, -0.086, 1.795, 10.587
512832.51686, -0.091, 1.522, 11.262
512832.53670, -0.211, 1.953, 10.821
512832.55743, -0.211, 2.671, 9.811
512832.57648, -0.388, 2.738, 9.562
512832.59636, 0.000, 1.517, 10.424
512832.61966, 0.608, 0.627, 12.698
512832.63614, 1.039, 0.220, 13.891
512832.65647, 1.470, 0.847, 11.937
512832.67734, 0.555, 0.876, 9.385
512832.69654, 0.551, 0.684, 8.686
512832.71605, 0.704, 0.928, 9.370
512832.73854, 0.330, 0.952, 9.016
512832.75591, 0.072, 0.837, 8.288
512832.77602, -0.081, 0.703, 7.680
512832.79702, 0.029, 1.062, 7.986
512832.81613, -0.048, 1.230, 8.144
512832.83604, 0.024, 1.350, 7.311
512832.85675, 0.192, 1.086, 6.832
512832.87571, 0.196, 0.967, 7.081
512832.89577, 0.369, 1.168, 7.522
512832.91678, 0.460, 1.273, 7.881
512832.93568, 0.316, 1.335, 8.082
512832.95586, 0.302, 1.431, 8.647
512832.97665, 0.417, 1.455, 9.040
512832.99559, 0.139, 1.297, 9.619
512833.01556, 0.081, 1.431, 9.974
512833.03789, 0.311, 1.920, 10.184
512833.05696, -0.034, 1.905, 10.251
512833.07525, -0.005, 1.857, 10.582
512833.09679, -0.048, 1.867, 10.931
512833.11528, -0.077, 1.565, 11.032
512833.13572, -0.091, 1.541, 10.601
512833.15653, -0.148, 1.987, 9.954
