TIME, X, Y, Z
685271.33547, 0.038, 2.394, 9.102
685271.35394, -0.038, 2.389, 9.212
685271.37363, 0.067, 2.389, 8.853
685271.39336, -0.077, 2.212, 8.839
685271.41332, -0.144, 2.451, 9.342
685271.43344, -0.129, 2.509, 9.399
685271.45328, -0.134, 2.293, 9.586
685271.47318, -0.029, 1.972, 9.456
685271.49351, -0.187, 1.896, 9.145
685271.51311, -0.038, 2.116, 9.083
685271.53324, 0.134, 2.111, 9.054
685271.55332, 0.120, 1.872, 9.337
685271.57315, -0.393, 1.891, 9.638
685271.59306, -0.383, 2.183, 9.117
685271.61318, -0.239, 2.264, 8.982
685271.63297, 0.081, 2.073, 9.083
685271.65322, -0.101, 1.814, 9.418
685271.67315, 0.168, 2.097, 9.562
685271.69291, 0.086, 2.355, 9.136
685271.71291, -0.019, 2.015, 8.844
685271.73311, -0.024, 2.106, 8.887
685271.75280, 0.029, 2.034, 9.332
685271.77273, -0.144, 2.102, 8.887
685271.79305, -0.120, 2.106, 9.773
685271.81264, -0.038, 1.848, 9.351
685271.83264, 0.072, 1.939, 8.662
685271.85284, 0.010, 2.092, 8.662
685271.87251, -0.067, 2.102, 9.322
685271.89377, -0.010, 1.972, 9.260
685271.91255, -0.005, 2.015, 9.069
685271.93252, 0.144, 2.097, 9.174
685271.95251, 0.067, 2.082, 9.021
685271.97246, -0.086, 2.111, 9.093
685271.99366, 0.153, 2.140, 8.504
685272.01222, 0.124, 2.221, 8.408
685272.03254, 0.115, 2.245, 8.504
685272.05225, 0.215, 2.480, 8.868
685272.07246, -0.086, 2.418, 9.006
685272.09228, -0.129, 2.360, 9.504
685272.11212, 0.110, 2.283, 9.423
685272.13209, 0.005, 2.231, 8.915
685272.15247, -0.134, 2.403, 8.935
685272.17204, -0.158, 2.408, 9.409
685272.19323, -0.177, 2.317, 9.342
685272.21210, -0.393, 2.451, 9.337
685272.23195, -0.244, 2.753, 9.241
685272.25194, -0.187, 2.437, 9.140
685272.27222, 0.024, 2.437, 9.385
685272.29251, 0.330, 2.509, 9.744
685272.31205, 0.321, 2.585, 9.605
685272.33185, 0.273, 2.623, 9.016
685272.35195, 0.340, 2.633, 8.853
685272.37170, 0.359, 2.441, 8.824
685272.39279, 0.057, 2.322, 9.064
685272.41198, -0.024, 2.379, 9.231
685272.43137, -0.182, 2.216, 9.011
685272.45192, -0.086, 2.250, 8.944
