TIME, X, Y, Z
685369.38570, 0.177, 2.102, 9.327
685369.40308, 0.163, 1.886, 8.959
685369.42303, 0.263, 1.867, 8.839
685369.44320, 0.101, 1.857, 8.891
685369.46298, 0.273, 1.972, 9.069
685369.48289, 0.306, 2.039, 9.361
685369.50302, 0.469, 2.039, 9.088
685369.52286, 0.244, 1.771, 9.452
685369.54290, 0.206, 1.881, 9.677
685369.56306, 0.062, 1.920, 9.466
685369.58276, 0.326, 1.857, 9.198
685369.60271, 0.249, 1.819, 9.251
685369.62305, 0.287, 2.178, 9.456
685369.64354, 0.311, 1.929, 9.303
685369.66270, 0.378, 1.833, 9.260
685369.68278, 0.369, 1.795, 9.040
685369.70248, 0.350, 1.790, 9.021
685369.72252, 0.268, 1.723, 9.231
685369.74308, 0.302, 1.900, 9.150
685369.76257, 0.206, 1.805, 9.346
685369.78250, 0.263, 1.814, 9.533
685369.80265, 0.254, 1.465, 9.504
685369.82256, 0.273, 1.465, 9.021
685369.84242, 0.153, 1.747, 9.097
685369.86268, -0.048, 1.843, 9.164
685369.88240, 0.081, 1.723, 9.049
685369.90256, 0.302, 1.632, 9.610
685369.92270, 0.316, 1.680, 9.428
685369.94262, 0.211, 1.647, 9.394
685369.96272, 0.124, 1.790, 9.394
685369.98268, 0.115, 1.853, 9.332
685370.00238, 0.014, 1.771, 9.294
685370.02219, -0.235, 1.829, 9.064
685370.04262, -0.321, 1.900, 8.959
685370.06640, -0.369, 1.953, 9.059
685370.08222, -0.402, 1.905, 9.169
685370.10226, -0.570, 2.039, 9.346
685370.12226, -0.728, 2.221, 8.729
685370.14205, -0.666, 2.216, 8.700
685370.16226, -0.369, 2.283, 8.753
685370.18209, -0.211, 2.236, 8.738
685370.20206, 0.005, 2.441, 9.131
685370.22189, 0.153, 2.298, 9.145
685370.24190, 0.244, 2.135, 9.576
685370.26210, 0.340, 2.264, 9.370
685370.28190, -0.005, 2.264, 9.260
685370.30172, 0.000, 2.264, 8.887
685370.32140, 0.014, 2.192, 8.815
685370.34178, -0.038, 2.121, 8.738
685370.36149, -0.192, 2.020, 9.212
685370.38124, -0.469, 2.164, 9.734
685370.40167, -0.498, 2.250, 9.174
685370.42119, -0.560, 2.264, 8.719
685370.44153, -0.536, 2.274, 9.097
685370.46176, -0.455, 2.149, 9.409
685370.48194, -0.560, 2.260, 9.480
685370.50130, -0.450, 2.283, 9.322
685370.52115, -0.321, 2.183, 9.346
685370.54129, -0.421, 2.236, 9.538
685370.56127, -0.503, 2.279, 9.634
685370.58261, -0.555, 2.078, 9.648
685370.60126, -0.541, 2.063, 9.988
