TIME, X, Y, Z
720364.03042, 0.124, 2.245, 8.987
720364.05032, -0.196, 2.063, 9.126
720364.07049, -0.244, 2.121, 9.184
720364.09033, -0.302, 2.183, 9.136
720364.11021, -0.124, 2.140, 9.088
720364.13037, -0.110, 2.207, 9.476
720364.15018, -0.120, 2.125, 9.677
720364.17015, -0.273, 2.125, 9.342
720364.19029, -0.211, 2.135, 9.289
720364.21010, -0.168, 2.212, 9.255
720364.23014, -0.306, 2.197, 9.308
720364.25014, -0.330, 2.087, 9.236
720364.27007, -0.263, 2.025, 9.112
720364.29002, -0.144, 2.250, 8.791
720364.31006, -0.105, 2.111, 9.006
720364.32988, -0.153, 2.183, 9.265
720364.35009, -0.062, 2.293, 9.203
720364.36995, 0.120, 2.130, 9.131
720364.38973, 0.168, 2.102, 9.083
720364.40963, 0.144, 2.283, 8.848
720364.42990, 0.067, 2.260, 8.954
720364.44966, 0.192, 2.169, 8.959
720364.46974, 0.120, 2.312, 9.514
720364.48965, 0.201, 2.398, 8.987
720364.50956, 0.321, 2.331, 9.026
720364.52958, 0.321, 2.322, 9.035
720364.54949, 0.158, 2.331, 8.834
720364.56946, 0.527, 2.681, 8.556
720364.58935, 0.833, 2.810, 8.930
720364.60942, 0.843, 2.509, 9.361
720364.62937, 0.694, 2.427, 9.844
720364.64933, 0.436, 2.298, 9.763
720364.66933, 0.326, 2.437, 9.610
720364.68910, 0.273, 2.422, 8.537
720364.70897, 0.402, 2.576, 8.101
720364.72925, 0.407, 2.509, 7.991
720364.74901, 0.211, 2.537, 8.216
720364.76896, 0.206, 2.370, 8.705
720364.78910, 0.062, 2.097, 9.193
720364.80888, 0.383, 2.078, 9.710
720364.82894, 0.306, 2.125, 9.720
720364.84917, 0.206, 2.360, 8.911
720364.86880, 0.220, 2.312, 8.681
720364.88877, 0.192, 2.298, 9.021
720364.90868, 0.172, 2.044, 9.547
720364.92878, 0.072, 2.030, 9.811
720364.94862, -0.024, 2.169, 10.237
720364.96884, -0.144, 2.068, 9.911
720364.98860, -0.436, 1.714, 10.117
720365.00840, -0.077, 1.733, 10.419
720365.02866, 0.388, 1.699, 10.898
720365.04841, 0.464, 1.546, 10.663
720365.06828, 0.105, 1.153, 10.448
720365.08831, 0.043, 0.928, 10.036
720365.10812, -0.168, 0.995, 9.782
720365.12825, -0.254, 1.393, 9.538
720365.14836, -0.278, 1.431, 9.030
720365.16824, -0.235, 1.402, 9.088
720365.18812, -0.302, 1.469, 8.982
720365.20820, -0.201, 1.383, 9.701
720365.22813, -0.043, 1.436, 9.265
720365.24806, 0.124, 1.618, 8.125
720365.26840, 0.043, 1.762, 7.642
720365.28811, 0.244, 1.838, 7.761
720365.30785, 0.148, 1.608, 8.662
720365.32809, 0.067, 1.694, 8.499
720365.34796, -0.091, 1.934, 8.326
720365.36799, 0.048, 1.891, 8.293
720365.38818, 0.230, 1.699, 8.891
720365.40761, -0.129, 1.589, 9.969
720365.42796, 0.134, 2.192, 10.232
720365.44771, 0.373, 2.331, 8.810
720365.46789, 0.153, 1.972, 7.704
720365.48787, -0.005, 2.049, 8.341
720365.50771, -0.235, 2.011, 9.739
720365.52754, -0.043, 2.154, 9.954
720365.54766, 0.014, 2.312, 9.485
720365.56777, -0.244, 1.991, 9.682
720365.58753, -0.340, 1.637, 9.940
720365.60730, -0.038, 1.785, 10.065
720365.62742, 0.019, 2.039, 9.519
720365.64710, 0.158, 1.991, 9.021
720365.66732, 0.029, 1.580, 10.108
720365.68749, 0.268, 1.254, 11.185
720365.70708, 0.517, 1.019, 11.262
720365.72730, 0.441, 1.096, 11.094
720365.74712, 0.124, 1.106, 10.443
720365.76716, -0.043, 0.833, 10.012
720365.78704, 0.220, 0.636, 9.557
720365.80689, 0.713, 0.751, 8.681
720365.82682, 0.857, 0.675, 8.427
720365.84712, 1.030, 1.000, 9.318
720365.86709, 0.809, 0.933, 10.026
720365.88690, 0.340, 0.531, 9.466
720365.90662, 0.254, 0.555, 9.231
720365.92678, 0.153, 1.024, 8.393
720365.94652, -0.115, 1.331, 8.159
720365.96685, 0.110, 1.551, 8.609
720365.98682, 0.034, 1.604, 9.136
720366.00632, 0.144, 1.388, 9.227
720366.02639, 0.086, 1.273, 8.638
720366.04645, 0.225, 1.335, 8.528
720366.06662, 0.153, 1.498, 8.097
720366.08621, 0.000, 1.426, 7.977
720366.10639, -0.081, 1.455, 8.240
720366.12618, 0.019, 1.450, 8.757
720366.14609, -0.010, 1.187, 8.068
720366.16633, -0.283, 1.331, 7.637
720366.18624, -0.259, 1.402, 7.024
720366.20587, -0.297, 1.383, 7.096
720366.22615, -0.148, 1.671, 7.579
720366.24616, 0.110, 1.862, 7.364
720366.26578, 0.431, 1.910, 6.670
720366.28625, 0.335, 1.977, 6.349
