TIME, X, Y, Z
720300.92696, -0.148, 1.781, 9.198
720300.94580, -0.172, 1.714, 9.342
720300.96588, -0.105, 1.656, 9.413
720300.98571, -0.081, 1.699, 9.236
720301.00562, 0.110, 1.905, 9.208
720301.02582, 0.283, 1.824, 9.399
720301.04572, -0.029, 1.690, 9.619
720301.06561, 0.163, 1.896, 9.758
720301.08575, 0.077, 1.642, 9.270
720301.10547, 0.335, 1.532, 9.188
720301.12545, 0.168, 1.699, 9.567
720301.14642, -0.120, 1.675, 9.399
720301.16538, -0.196, 1.441, 9.270
720301.18541, 0.024, 1.388, 9.246
720301.20558, 0.000, 1.115, 9.562
720301.22535, 0.115, 1.302, 9.624
720301.24525, 0.029, 1.235, 9.729
720301.26613, -0.010, 1.268, 9.246
720301.28529, 0.144, 1.469, 8.810
720301.30685, 0.057, 1.508, 8.935
720301.32578, -0.029, 1.517, 9.107
720301.34536, -0.067, 1.599, 9.102
720301.36538, -0.302, 1.618, 9.485
720301.38539, -0.192, 1.527, 9.514
720301.40526, -0.192, 1.699, 9.251
720301.42511, -0.115, 1.742, 9.097
720301.44526, -0.192, 1.776, 9.112
720301.46502, -0.211, 1.766, 9.035
720301.48508, -0.215, 1.766, 8.805
720301.50528, -0.168, 1.929, 8.815
720301.52510, -0.211, 1.905, 9.064
720301.54491, -0.139, 1.742, 9.480
720301.56510, -0.206, 1.891, 9.562
720301.58495, -0.172, 1.939, 9.140
720301.60495, 0.010, 1.867, 9.476
720301.62487, -0.034, 1.996, 9.203
720301.64475, -0.086, 2.044, 9.188
720301.66481, -0.014, 1.982, 9.255
720301.68472, 0.182, 1.996, 9.270
720301.70460, -0.014, 1.867, 9.375
720301.72446, -0.034, 1.963, 8.997
720301.74452, 0.005, 1.867, 9.002
720301.76445, -0.048, 1.872, 9.294
720301.78455, -0.215, 1.857, 9.322
720301.80433, -0.287, 1.637, 9.586
720301.82413, -0.302, 1.790, 10.036
720301.84759, -0.450, 1.651, 9.710
720301.86438, -0.225, 1.900, 9.452
720301.88407, -0.259, 1.374, 9.610
720301.90480, 0.057, 1.163, 10.333
720301.92385, 0.153, 1.110, 10.266
720301.94393, 0.201, 0.962, 9.964
720301.96372, -0.005, 1.134, 8.906
720301.98403, -0.168, 1.149, 9.083
720302.00402, -0.297, 1.043, 9.758
720302.02366, -0.503, 0.631, 10.022
720302.04385, -0.268, 0.483, 10.089
720302.06390, 0.091, 0.675, 9.763
720302.08384, -0.034, 0.699, 9.883
720302.10397, 0.177, 0.689, 10.079
720302.12353, 0.259, 0.766, 9.792
720302.14354, 0.168, 0.694, 8.762
720302.16388, 0.273, 0.684, 8.714
720302.18363, 0.024, 0.699, 8.982
720302.20459, -0.268, 0.588, 9.686
720302.22337, -0.220, 0.756, 9.193
720302.24328, -0.024, 1.072, 8.571
720302.26333, 0.072, 1.249, 8.221
720302.28333, 0.038, 1.182, 8.508
720302.30334, 0.010, 1.038, 8.997
720302.32302, 0.235, 0.938, 9.413
720302.34327, 0.431, 0.857, 9.428
720302.36330, 0.469, 0.852, 9.121
720302.38321, 0.421, 0.967, 9.576
720302.40429, 0.062, 1.129, 9.375
720302.42281, 0.086, 1.331, 9.255
720302.44289, 0.110, 1.484, 9.255
720302.46323, 0.249, 1.575, 8.939
720302.48401, 0.096, 1.407, 9.054
720302.50264, 0.335, 1.694, 9.394
720302.52286, 0.187, 1.508, 9.222
720302.54261, 0.263, 1.551, 9.327
720302.56256, 0.077, 1.584, 9.586
720302.58243, 0.373, 1.541, 9.849
720302.60229, 0.393, 1.431, 9.792
720302.62224, 0.397, 1.326, 10.170
720302.64238, 0.464, 1.604, 10.223
720302.66223, 0.101, 1.517, 9.993
720302.68212, 0.053, 1.350, 9.883
720302.70223, 0.215, 1.197, 9.983
720302.72198, 0.441, 1.168, 10.371
720302.74197, 0.345, 1.125, 10.127
720302.76200, 0.115, 1.053, 9.916
720302.78184, 0.081, 1.062, 10.280
720302.80181, -0.072, 0.823, 10.879
720302.82197, 0.306, 0.742, 10.965
720302.84177, 0.369, 0.794, 10.424
720302.86169, 0.120, 0.904, 9.682
720302.88180, -0.010, 0.837, 10.165
720302.90159, -0.120, 0.507, 10.697
720302.92156, -0.426, -0.125, 10.673
