TIME, X, Y, Z
685527.24543, -0.297, 2.427, 9.231
685527.26472, -0.038, 2.647, 9.222
685527.28441, -0.034, 2.427, 9.102
685527.30437, -0.311, 2.360, 9.131
685527.32456, -0.201, 2.207, 9.069
685527.34429, 0.067, 2.240, 8.872
685527.36424, 0.043, 2.226, 8.781
685527.38434, -0.354, 2.106, 9.265
685527.40424, -0.215, 2.370, 9.375
685527.42419, 0.019, 2.360, 9.327
685527.44448, 0.187, 2.097, 8.743
685527.46403, 0.268, 2.006, 8.839
685527.48416, 0.244, 2.169, 9.418
685527.50419, -0.230, 1.953, 9.854
685527.52401, -0.062, 2.020, 9.600
685527.54391, 0.153, 1.910, 9.255
685527.56414, 0.335, 1.982, 8.935
685527.58413, 0.038, 2.063, 9.083
685527.60375, -0.397, 1.958, 9.284
685527.62393, -0.383, 1.728, 9.720
685527.64368, 0.177, 2.015, 9.389
685527.66367, 0.211, 1.795, 9.385
685527.68385, 0.120, 1.742, 8.978
685527.70365, 0.192, 1.910, 8.633
685527.72361, 0.077, 1.924, 8.475
685527.74385, -0.187, 1.843, 8.772
685527.76353, -0.244, 1.824, 9.069
685527.78348, -0.120, 1.876, 9.322
685527.80391, -0.091, 2.145, 9.059
685527.82360, -0.062, 2.030, 9.160
685527.84356, -0.201, 2.116, 8.982
685527.86379, -0.268, 2.202, 9.049
685527.88346, 0.029, 2.307, 8.968
685527.90337, 0.105, 2.427, 8.930
685527.92331, 0.340, 2.609, 8.992
685527.94317, 0.182, 2.379, 9.026
685527.96310, -0.014, 2.092, 9.337
685527.98333, 0.115, 2.169, 9.217
685528.00313, 0.354, 2.475, 9.102
685528.02360, 0.115, 2.585, 9.093
685528.04352, -0.158, 2.427, 9.083
685528.06296, -0.493, 2.245, 9.164
685528.08390, -0.283, 2.441, 8.714
685528.10310, -0.105, 2.595, 8.844
685528.12282, -0.096, 2.456, 8.920
685528.14274, -0.177, 2.494, 9.217
685528.16300, -0.273, 2.360, 9.844
685528.18276, -0.187, 2.188, 9.978
685528.20272, 0.187, 2.327, 10.093
685528.22315, 0.330, 2.461, 9.873
685528.24373, -0.192, 2.245, 9.600
685528.26241, -0.153, 2.250, 9.892
685528.28268, -0.225, 2.236, 9.926
685528.30252, -0.292, 2.111, 9.988
685528.32247, 0.110, 2.092, 10.553
685528.34261, 0.541, 2.039, 10.893
685528.36271, 0.484, 1.742, 10.237
685528.38249, 0.053, 1.388, 10.093
685528.40248, -0.153, 1.005, 10.812
685528.42361, 0.172, 0.789, 10.773
685528.44312, 0.235, 0.718, 10.271
685528.46214, 0.263, 0.770, 9.366
685528.48212, 0.014, 0.823, 8.638
685528.50241, 0.077, 0.861, 8.269
685528.52224, 0.431, 0.948, 8.978
685528.54309, 0.565, 0.895, 8.973
685528.56228, 0.512, 0.842, 8.437
685528.58214, 0.024, 0.502, 8.245
685528.60288, -0.192, 0.382, 8.518
685528.62181, 0.378, 0.995, 8.925
685528.64182, 0.460, 1.182, 9.796
685528.66204, 0.196, 1.072, 9.849
685528.68176, -0.120, 1.144, 8.619
685528.70214, -0.177, 1.192, 7.733
685528.72165, -0.144, 1.479, 7.709
685528.74187, 0.311, 1.809, 8.513
685528.76193, 0.230, 1.604, 8.810
685528.78147, -0.220, 1.158, 8.738
685528.80171, -0.163, 1.139, 8.336
685528.82173, 0.024, 1.417, 8.020
685528.84249, 0.057, 1.536, 7.819
685528.86148, -0.077, 1.536, 7.972
685528.88148, 0.024, 1.431, 7.661
685528.90148, 0.153, 1.532, 7.508
685528.92120, 0.144, 1.570, 7.259
685528.94256, 0.201, 1.556, 7.694
685528.96148, 0.268, 1.517, 7.522
685528.98129, 0.153, 1.599, 7.584
685529.00120, 0.192, 1.876, 7.915
685529.02088, 0.450, 1.838, 8.662
685529.04109, 0.532, 1.666, 8.077
685529.06135, 0.445, 1.570, 7.785
685529.08077, 0.302, 1.489, 7.900
685529.10077, 0.603, 1.580, 8.398
685529.12097, 0.828, 1.584, 8.973
685529.14066, 0.532, 1.345, 9.993
685529.16187, -0.211, 1.153, 9.576
685529.18072, -0.244, 1.455, 8.863
685529.20057, 0.034, 1.508, 9.514
685529.22048, 0.723, 1.513, 11.061
685529.24078, 0.958, 1.048, 12.794
685529.26166, 0.412, 0.569, 12.818
685529.28031, 0.034, 0.967, 11.022
685529.30053, -0.450, 1.479, 10.160
685529.32022, -0.436, 1.987, 10.146
685529.34059, -0.536, 1.958, 10.385
685529.36151, -0.464, 1.790, 10.520
685529.38009, -0.335, 1.350, 10.912
685529.40016, -0.402, 0.847, 11.506
685529.42038, -0.632, 0.646, 11.482
685529.44001, -0.555, 0.722, 10.960
685529.46003, -0.077, 1.211, 9.739
685529.47996, 0.129, 1.513, 8.561
685529.49994, 0.144, 1.393, 7.627
