TIME, X, Y, Z
720443.78186, -0.599, 1.900, 9.361
720443.79918, -0.297, 2.164, 9.093
720443.81937, -0.287, 2.121, 9.107
720443.83921, -0.364, 2.049, 8.896
720443.85902, -0.153, 2.173, 9.002
720443.87923, -0.177, 2.082, 9.433
720443.89909, -0.292, 2.006, 9.298
720443.91897, -0.594, 1.963, 9.131
720443.93920, -0.287, 2.125, 9.203
720443.95886, 0.292, 2.351, 9.045
720443.97893, -0.115, 2.039, 9.112
720443.99930, -0.134, 1.814, 9.198
720444.01894, -0.172, 1.910, 8.987
720444.03885, -0.139, 2.073, 9.265
720444.05898, -0.115, 2.178, 9.399
720444.07884, -0.259, 2.164, 9.021
720444.09906, -0.283, 2.145, 8.863
720444.11892, -0.436, 2.226, 8.551
720444.13867, -0.086, 2.283, 7.986
720444.15872, 0.532, 2.374, 8.183
720444.17924, 0.733, 2.394, 9.308
720444.19867, 0.804, 2.264, 9.768
720444.21859, 0.378, 2.092, 9.883
720444.23885, -0.201, 1.896, 9.701
720444.25852, 0.034, 1.972, 9.480
720444.27837, 0.632, 2.327, 8.949
720444.29878, 0.656, 2.336, 8.810
720444.31819, 0.450, 1.996, 9.289
720444.33830, 0.283, 1.977, 9.160
720444.35834, 0.316, 2.063, 9.107
720444.37836, 0.431, 2.025, 8.887
720444.39811, 0.527, 2.039, 8.748
720444.42093, 0.527, 2.188, 9.298
720444.43809, 0.378, 2.130, 9.342
720444.45795, 0.263, 2.116, 9.006
720444.48013, 0.292, 2.192, 8.906
720444.49802, 0.096, 2.116, 9.773
720444.51786, -0.048, 1.991, 10.543
720444.53810, 0.326, 2.102, 10.639
720444.55767, -0.067, 1.929, 10.036
720444.57796, -0.450, 1.656, 10.012
720444.59812, -0.589, 1.331, 10.639
720444.61755, -0.158, 1.378, 10.725
720444.63773, 0.192, 1.369, 10.371
720444.65771, -0.091, 1.134, 9.193
720444.67778, -0.517, 0.895, 8.757
720444.69820, -0.503, 0.880, 9.294
720444.71752, -0.273, 0.895, 9.476
720444.73756, -0.172, 1.201, 9.227
720444.75754, -0.196, 1.072, 9.279
720444.77859, -0.560, 1.010, 8.997
720444.79764, -0.579, 0.976, 9.442
720444.81719, -0.043, 1.350, 10.309
720444.83726, 0.378, 1.604, 9.217
720444.85715, 0.034, 1.364, 7.761
720444.87715, 0.067, 1.426, 7.120
720444.89700, -0.053, 1.398, 7.934
720444.91685, -0.187, 1.560, 9.413
720444.93711, 0.244, 1.532, 9.682
720444.95710, -0.096, 1.426, 8.772
720444.97721, -0.532, 1.498, 7.934
720444.99829, -0.584, 1.728, 7.991
720445.01690, -0.651, 1.762, 9.222
720445.03684, -0.364, 1.920, 9.998
720445.05699, -0.383, 1.910, 10.113
720445.07710, -0.431, 1.819, 9.026
720445.09686, -0.656, 1.718, 7.963
720445.11647, -0.728, 1.647, 9.054
720445.13688, -0.445, 1.738, 10.338
720445.15682, -0.287, 1.570, 10.256
720445.17795, -0.326, 1.307, 9.868
720445.19684, -0.283, 1.024, 9.777
720445.21635, -0.139, 1.484, 9.931
720445.23640, 0.196, 1.867, 10.175
720445.25651, 0.077, 1.656, 10.261
720445.27657, 0.057, 1.125, 9.806
720445.29615, 0.024, 0.981, 9.466
720445.31637, 0.067, 1.101, 9.270
720445.33609, -0.283, 1.048, 9.418
720445.35602, -0.527, 1.211, 9.954
720445.37766, -0.091, 1.077, 10.462
720445.39625, -0.311, 0.473, 10.036
720445.41592, -0.278, 0.473, 8.973
720445.43621, -0.120, 0.780, 8.125
720445.45590, -0.048, 0.900, 8.317
720445.47740, 0.709, 1.259, 9.193
720445.49738, 0.690, 1.158, 9.040
720445.51570, 0.249, 0.593, 8.686
720445.53577, 0.134, 0.588, 8.872
720445.55583, 0.124, 0.823, 9.164
720445.57586, -0.034, 0.952, 8.662
720445.59578, 0.067, 1.110, 8.796
720445.61564, -0.091, 0.991, 7.939
720445.63564, -0.407, 0.957, 7.737
720445.65543, -0.508, 0.699, 8.159
720445.67730, -0.340, 0.933, 7.718
720445.69670, -0.163, 1.005, 6.823
720445.71525, -0.110, 1.240, 7.273
720445.73552, -0.350, 1.005, 7.551
720445.75517, -0.455, 0.880, 7.134
720445.77669, -0.479, 1.029, 7.311
720445.79545, -0.503, 1.062, 7.321
720445.81514, -0.139, 1.106, 7.350
720445.83513, 0.086, 1.106, 8.250
720445.85524, -0.192, 1.015, 8.781
720445.87551, -0.436, 0.813, 8.791
720445.89502, -0.235, 0.967, 9.136
720445.91504, 0.393, 1.254, 9.519
720445.93487, 0.436, 1.254, 9.763
720445.95475, -0.072, 1.125, 10.644
720445.97520, -0.163, 0.742, 11.041
720445.99549, -0.235, 0.718, 11.678
720446.01459, 0.072, 0.885, 11.693
720446.03486, 0.153, 1.029, 11.511
720446.05454, -0.536, 1.134, 10.740
720446.07682, -0.843, 1.273, 9.734
720446.09483, -1.274, 0.952, 9.787
720446.11442, -0.584, 0.962, 10.658
720446.13449, -0.043, 0.986, 11.290
720446.15471, -0.053, 0.780, 12.004
720446.17674, -0.517, 0.617, 11.482
720446.19472, -0.287, 1.091, 9.447
720446.21439, 0.177, 1.699, 7.809
720446.23427, -0.034, 1.829, 7.005
720446.25432, -0.397, 1.455, 6.909
720446.27634, -0.709, 0.727, 6.981
720446.29401, -0.560, 0.766, 7.062
720446.31397, -0.326, 0.866, 7.369
720446.33423, -0.426, 1.144, 7.503
720446.35430, -0.393, 1.264, 7.757
720446.37382, -0.062, 1.407, 7.781
720446.39429, -0.263, 1.307, 8.360
720446.41414, -0.512, 1.153, 8.848
720446.43381, -0.144, 1.235, 8.025
720446.45430, 0.115, 1.378, 7.249
720446.47401, -0.019, 1.331, 7.139
720446.49387, -0.378, 1.469, 10.290
720446.51408, -0.838, 1.694, 11.118
720446.53372, -0.709, 1.637, 10.036
720446.55384, -0.388, 1.517, 10.788
720446.57401, -0.153, 1.192, 13.373
720446.59367, 0.014, 0.722, 14.638
720446.61388, 0.024, 0.766, 13.488
720446.63348, -0.287, 1.144, 11.760
720446.65365, -0.488, 1.101, 10.745
720446.67368, -0.201, 1.062, 10.567
720446.69430, -0.086, 0.933, 10.357
720446.71374, 0.110, 0.857, 10.199
720446.73313, 0.043, 0.761, 10.792
720446.75363, 0.172, 0.861, 10.400
720446.77344, 0.263, 1.177, 9.140
720446.79437, 0.383, 1.292, 7.522
720446.81306, 0.239, 1.134, 6.062
720446.83294, -0.340, 0.986, 5.793
720446.85310, -0.766, 1.062, 6.085
720446.87330, -0.115, 1.201, 6.780
720446.89306, 0.077, 1.331, 7.206
720446.91296, 0.488, 1.374, 6.583
720446.93291, -0.115, 1.431, 6.761
720446.95294, -0.608, 1.062, 7.733
720446.97282, -0.153, 0.943, 8.609
720446.99462, -0.010, 0.981, 9.385
720447.01264, -0.062, 0.890, 9.615
720447.03264, -0.330, 1.019, 9.265
720447.05285, -1.020, 0.751, 8.676
720447.07241, -0.977, 1.015, 9.437
720447.09257, -0.096, 1.541, 11.104
720447.11269, 0.474, 1.331, 13.326
720447.13234, 0.105, 0.785, 14.618
720447.15258, -0.215, 0.569, 13.268
720447.17289, -0.364, 0.880, 10.941
720447.19380, -0.350, 1.307, 10.079
720447.21234, -0.474, 1.560, 10.127
720447.23228, -0.532, 1.762, 9.763
720447.25239, -0.259, 1.268, 9.854
720447.27262, -0.144, 0.809, 11.516
720447.29345, -0.335, 0.191, 12.286
720447.31197, 0.038, 0.555, 9.907
720447.33182, 0.043, 1.235, 7.623
720447.35198, 0.034, 1.589, 6.176
720447.37247, -0.134, 1.570, 6.397
720447.39193, -0.809, 1.249, 8.144
720447.41221, -1.001, 0.976, 8.537
720447.43188, -0.139, 1.149, 8.302
720447.45186, 0.067, 1.460, 7.211
720447.47192, -0.077, 1.445, 6.004
720447.49262, -0.196, 1.426, 5.492
720447.51278, -0.570, 1.220, 6.081
720447.53146, -0.555, 0.885, 7.474
720447.55143, -0.010, 1.058, 7.881
720447.57198, 0.383, 1.316, 7.536
720447.59154, 0.292, 1.493, 8.465
720447.61292, -0.508, 1.441, 10.630
720447.63142, -0.742, 1.287, 12.559
720447.65140, -0.488, 1.278, 13.704
720447.67154, 0.297, 1.402, 13.704
720447.69146, 0.915, 1.388, 13.517
720447.71164, 0.666, 1.201, 12.119
720447.73132, 0.393, 1.225, 10.979
720447.75104, 0.163, 1.201, 10.390
720447.77118, 0.239, 1.493, 10.414
720447.79102, 0.326, 1.431, 9.887
720447.81217, -0.115, 1.177, 10.026
720447.83123, -0.967, 0.746, 10.807
720447.85080, -1.034, 0.761, 10.381
720447.87082, -0.340, 1.134, 9.456
720447.89105, 0.292, 1.455, 8.992
720447.91186, 0.239, 1.359, 8.762
720447.93069, 0.091, 1.086, 8.413
720447.95076, 0.101, 0.952, 7.781
720447.97051, 0.268, 1.067, 7.091
720447.99071, 0.474, 1.431, 6.081
720448.01169, 0.622, 1.393, 6.196
720448.03030, 0.168, 1.182, 6.828
720448.05034, -0.115, 1.220, 6.899
720448.07044, -0.124, 1.335, 6.172
720448.09323, 0.163, 1.402, 6.957
720448.11024, -0.029, 1.326, 8.575
720448.13038, -0.192, 0.986, 10.721
720448.15022, -0.081, 0.928, 10.591
720448.17030, -0.124, 1.086, 9.260
720448.18999, 0.072, 1.651, 8.915
720448.20974, 0.369, 1.896, 10.529
720448.22972, 0.445, 1.144, 13.522
720448.25009, 0.594, 0.804, 15.375
720448.26967, 0.057, 0.627, 13.100
720448.28964, -0.354, 0.948, 9.538
720448.31075, -0.077, 1.575, 9.308
720448.32955, 0.115, 1.867, 10.678
720448.34982, -0.134, 1.714, 11.128
720448.36969, -0.354, 1.211, 10.673
720448.38967, -0.292, 1.091, 9.864
720448.40953, -0.421, 1.220, 9.643
720448.42964, -0.335, 1.474, 9.442
720448.44961, 0.053, 1.690, 9.279
720448.46945, 0.201, 1.522, 9.337
720448.48949, -0.072, 1.422, 8.566
720448.51062, -0.536, 1.283, 7.556
720448.52951, -0.637, 1.469, 6.627
720448.54962, -0.867, 1.445, 6.306
720448.56926, -0.895, 1.517, 6.828
720448.58940, -0.656, 1.627, 6.919
720448.61037, -0.646, 1.522, 6.713
720448.62948, -0.699, 1.422, 6.267
720448.64935, -0.527, 1.287, 6.660
720448.66935, -0.043, 1.302, 7.613
720448.68901, 0.541, 1.508, 8.235
720448.70939, 0.675, 1.580, 8.279
720448.73070, -0.215, 0.976, 9.236
720448.74896, -0.646, 0.732, 11.065
720448.76879, -0.402, 1.163, 11.616
720448.78893, -0.321, 1.580, 11.219
720448.80872, -0.124, 1.742, 10.984
720448.82868, -0.254, 1.335, 11.946
720448.84857, 0.043, 1.321, 12.555
720448.86843, 0.594, 1.517, 12.708
720448.88829, 0.407, 1.182, 12.727
720448.90868, -0.101, 1.450, 11.367
720448.92817, -0.445, 1.503, 10.486
720448.94912, -0.407, 1.355, 10.970
720448.96821, 0.124, 1.225, 11.520
720448.98824, 0.168, 1.273, 11.233
720449.00811, 0.378, 1.460, 10.266
720449.02857, 0.536, 1.431, 8.982
720449.04841, 0.474, 1.369, 8.484
720449.06809, 0.182, 1.268, 8.298
720449.08833, 0.321, 1.115, 8.619
720449.10828, 0.541, 1.197, 7.862
720449.12969, 0.445, 1.268, 6.813
720449.14934, 0.321, 1.297, 5.994
720449.16788, 0.455, 1.445, 5.803
720449.18789, 0.239, 1.575, 6.267
720449.20802, -0.005, 1.345, 6.967
720449.22814, 0.335, 1.331, 7.359
720449.24814, -0.144, 1.235, 7.632
720449.26782, -0.124, 1.192, 7.728
720449.28768, 0.177, 1.244, 7.474
720449.30814, 0.177, 1.326, 8.202
720449.32891, 0.278, 1.331, 10.242
720449.34776, 0.407, 1.426, 11.353
720449.36750, 0.148, 1.441, 10.620
720449.38757, 0.000, 1.240, 10.644
720449.40752, 0.321, 1.264, 12.559
720449.42739, 0.776, 1.398, 14.240
720449.44733, 0.661, 1.326, 12.938
720449.46731, -0.273, 1.034, 10.515
720449.48729, -0.733, 1.173, 9.710
720449.50716, -0.278, 1.417, 9.964
720449.52699, 0.053, 1.766, 10.199
720449.54707, 0.239, 1.747, 10.036
720449.56734, -0.311, 1.283, 10.467
720449.58713, -0.187, 1.240, 10.917
720449.60711, -0.268, 1.225, 10.103
720449.62725, -0.014, 1.369, 9.011
720449.64706, 0.115, 1.455, 9.121
720449.66716, 0.163, 1.182, 8.465
720449.68715, -0.450, 0.919, 6.785
720449.70680, -0.666, 1.163, 5.765
720449.72682, 0.235, 1.771, 6.009
720449.74710, 0.388, 1.963, 6.890
720449.76704, -0.172, 1.742, 6.799
720449.78678, -0.637, 1.316, 6.344
720449.80677, -0.800, 1.024, 7.239
720449.82683, 0.086, 0.895, 8.322
720449.84666, 0.340, 1.082, 9.002
720449.86788, 0.311, 1.331, 9.619
720449.88657, 0.259, 1.445, 9.423
720449.90665, -0.474, 1.120, 9.686
720449.92650, -0.886, 0.962, 11.032
720449.94636, -0.311, 1.187, 11.511
720449.96620, -0.287, 1.287, 11.942
720449.98613, 0.153, 1.264, 11.463
720450.00613, 0.575, 1.125, 10.917
720450.02608, 0.622, 1.230, 10.759
720450.04596, 0.441, 1.106, 10.338
720450.06583, 0.709, 1.287, 10.816
720450.08599, 1.211, 1.388, 10.778
720450.10623, 0.709, 0.890, 11.458
720450.12595, 0.321, 0.847, 12.425
720450.14722, 0.488, 0.837, 11.156
720450.16638, 0.584, 1.340, 9.279
720450.18592, 0.718, 1.599, 7.570
720450.20570, 0.335, 1.302, 6.492
720450.22603, -0.345, 1.173, 6.899
720450.24567, -0.642, 1.345, 7.613
720450.26673, -0.168, 1.714, 7.450
720450.28615, 0.067, 1.565, 6.612
720450.30554, -0.182, 1.244, 6.497
720450.32572, -0.230, 1.019, 7.608
720450.34558, 0.182, 1.005, 8.824
720450.36651, 0.488, 0.904, 9.471
720450.38520, 0.532, 0.560, 9.346
720450.40541, 0.498, 0.742, 8.834
