ID, X, Y, Z
517289.92354, 0.259, 2.011, 9.677
517289.94018, 0.383, 2.073, 9.543
517289.96015, 0.373, 2.034, 9.394
517289.98171, 0.081, 1.714, 9.179
517290.00393, -0.206, 1.742, 9.615
517290.02004, -0.172, 1.742, 9.480
517290.04087, -0.091, 1.843, 9.375
517290.06000, 0.153, 2.274, 9.509
517290.07989, 0.110, 2.312, 10.108
517290.10099, -0.512, 1.900, 9.883
517290.11987, -0.737, 1.101, 9.610
517290.13983, -0.469, 1.307, 9.471
517290.16076, 0.081, 1.862, 10.534
517290.17979, 0.675, 2.489, 10.591
517290.19978, 1.475, 3.581, 8.743
517290.22065, 0.742, 3.275, 7.694
517290.23979, -0.460, 2.130, 8.528
517290.25952, -0.608, 1.383, 10.898
517290.28051, 0.354, 1.623, 11.645
517290.29969, -0.187, -0.072, 9.342
517290.31964, -0.584, 0.320, 8.336
517290.34059, 0.728, 1.963, 10.496
517290.35963, 1.264, 2.226, 10.275
517290.37980, 0.551, 2.614, 9.840
517290.40037, 0.962, 2.485, 9.002
517290.41964, 0.053, 0.914, 9.911
517290.43968, -1.585, -0.288, 7.412
517290.46035, 0.340, 0.766, 7.005
517290.47946, 1.211, 1.757, 8.441
517290.49918, 0.757, 2.743, 11.391
517290.52013, 0.766, 3.141, 11.875
517290.53913, 0.699, 2.370, 10.582
517290.55907, 0.498, 1.513, 8.441
517290.58031, 0.929, 1.479, 6.540
517290.59900, 1.829, 2.389, 5.908
517290.61892, 0.273, 2.327, 9.073
517290.63989, -0.158, 2.020, 11.745
517290.65927, 0.326, 1.762, 11.717
517290.67871, 1.274, 2.169, 9.456
517290.69981, 0.761, 2.030, 8.384
517290.71873, 0.201, 1.977, 8.355
517290.73893, 0.445, 1.220, 10.261
517290.76078, 1.173, 0.962, 11.286
517290.77883, 1.164, 1.374, 9.931
517290.79855, 0.886, 1.608, 9.610
517290.81954, 0.287, 1.091, 12.416
517290.83874, 0.340, 1.010, 12.670
517290.85956, 0.091, 1.048, 10.970
517290.87933, -0.670, 0.699, 8.504
517290.89841, -0.469, 0.833, 8.006
517290.91833, 0.263, 0.727, 8.935
517290.93917, 0.512, 0.493, 9.954
517290.95941, -0.211, 0.095, 12.670
517290.97821, 0.019, 0.421, 13.139
517290.99916, 0.436, 0.651, 9.509
517291.01810, 0.038, 0.014, 6.928
517291.03837, -1.188, -0.159, 9.456
517291.06020, -0.412, 0.090, 10.639
517291.07833, 0.311, 0.598, 10.577
517291.09798, 0.053, 0.608, 10.256
517291.11887, 0.244, 0.521, 9.385
517291.13807, 0.397, 0.655, 7.919
517291.15893, 0.110, 0.861, 7.230
517291.18054, 0.043, 0.517, 8.686
517291.19775, 0.373, 0.588, 9.816
517291.21761, 0.551, 0.962, 8.839
517291.23888, 0.589, 1.268, 7.072
517291.25899, -0.010, 1.158, 7.589
517291.27781, 0.345, 1.230, 9.787
517291.29838, -0.215, 0.751, 7.493
517291.31744, -1.077, 0.459, 6.062
517291.33736, -0.986, 0.445, 7.646
517291.35841, -0.527, 0.699, 7.857
517291.37720, -0.302, 0.837, 7.096
517291.39708, -0.273, 1.110, 8.379
517291.41842, -0.584, 0.837, 8.753
517291.43710, -0.661, 1.096, 9.682
517291.45694, 0.273, 1.556, 9.624
517291.47786, 0.220, 1.465, 10.553
517291.49684, -0.627, 0.789, 11.219
