TIME, X, Y, Z
720405.60509, -0.263, 1.704, 9.265
720405.62133, -0.187, 1.790, 9.447
720405.64113, -0.034, 1.948, 9.088
720405.66103, -0.086, 1.857, 8.753
720405.68112, -0.153, 1.800, 9.217
720405.70098, -0.120, 1.991, 9.428
720405.72094, -0.019, 2.073, 9.040
720405.74103, -0.134, 2.236, 9.236
720405.76090, -0.115, 2.260, 9.164
720405.78080, -0.211, 2.322, 9.251
720405.80102, -0.091, 2.283, 9.811
720405.82078, -0.019, 2.260, 9.370
720405.84062, -0.067, 2.341, 8.810
720405.86078, 0.005, 2.494, 8.077
720405.88060, 0.168, 2.346, 8.671
720405.90100, 0.484, 2.394, 9.437
720405.92087, 0.479, 2.231, 9.251
720405.94055, 0.359, 1.982, 9.409
720405.96068, 0.421, 2.216, 9.303
720405.98059, 0.311, 2.264, 8.710
720406.00054, 0.177, 2.398, 8.441
720406.02045, -0.134, 2.398, 8.221
720406.04042, -0.105, 2.212, 8.240
720406.06048, -0.034, 2.231, 8.451
720406.08033, 0.168, 2.293, 8.513
720406.10211, 0.441, 2.427, 9.370
720406.12043, 0.369, 2.178, 10.314
720406.14032, 0.110, 2.015, 10.323
720406.16064, 0.163, 2.461, 9.069
720406.18013, 0.330, 2.499, 8.518
720406.20006, 0.086, 2.293, 8.959
720406.22018, 0.268, 2.030, 9.567
720406.24028, 0.460, 1.742, 9.705
720406.26034, 0.541, 1.651, 10.227
720406.28009, 0.594, 1.833, 9.983
720406.30000, 0.412, 1.924, 9.887
720406.32031, 0.163, 1.632, 9.988
720406.34009, -0.584, 1.307, 10.687
720406.36139, -0.148, 1.484, 10.491
720406.37965, 0.278, 1.604, 9.308
720406.39989, 0.316, 1.369, 8.949
720406.42002, 0.441, 1.340, 9.705
720406.44001, 0.498, 1.230, 10.754
720406.46111, 0.254, 1.106, 10.979
720406.47949, 0.469, 1.010, 10.553
720406.49960, 0.364, 1.158, 9.638
720406.52003, 0.268, 1.029, 9.222
720406.53982, 0.278, 1.268, 8.666
720406.56070, 0.067, 1.445, 8.508
720406.57973, -0.101, 1.517, 8.666
720406.59953, -0.196, 1.235, 8.595
720406.61942, -0.469, 0.952, 9.346
720406.64017, -0.148, 1.115, 9.792
720406.65923, 0.220, 1.345, 8.982
720406.67920, 0.220, 1.479, 8.250
720406.69953, -0.220, 1.627, 8.058
720406.71945, -0.192, 1.417, 7.766
720406.73928, -0.215, 1.393, 8.125
720406.76017, -0.129, 1.469, 8.628
720406.77931, -0.354, 1.570, 8.451
720406.79895, -0.536, 1.426, 9.049
720406.81946, 0.034, 1.532, 9.524
720406.83911, 0.091, 1.656, 9.615
720406.85982, 0.086, 1.766, 9.150
720406.87901, 0.206, 1.776, 9.184
720406.89886, 0.057, 1.728, 9.988
720406.91878, 0.115, 1.489, 10.491
720406.93865, 0.172, 1.182, 10.591
720406.95855, -0.110, 1.450, 9.993
720406.98012, -0.201, 1.704, 8.887
720406.99860, -0.062, 1.316, 9.777
720407.01854, 0.259, 1.067, 11.276
720407.03833, 0.259, 0.871, 11.492
720407.05883, -0.259, 0.737, 10.098
720407.07962, -0.326, 0.641, 8.690
720407.09812, -0.383, 0.459, 8.911
720407.11832, -0.072, 0.713, 9.184
720407.13815, 0.239, 0.948, 8.796
720407.15813, 0.613, 0.761, 8.240
720407.17851, 0.776, 0.689, 8.513
