TIME, X, Y, Z
685510.12095, -0.019, 1.982, 9.385
685510.14134, 0.024, 2.063, 9.021
685510.16118, -0.263, 1.977, 9.088
685510.18116, -0.321, 1.943, 9.131
685510.20132, -0.330, 2.039, 9.179
685510.22106, -0.302, 2.020, 9.203
685510.24098, -0.268, 2.106, 9.433
685510.26152, -0.311, 1.948, 9.222
685510.28089, -0.158, 2.097, 8.848
685510.30103, -0.340, 2.078, 9.145
685510.32103, -0.211, 2.063, 9.485
685510.34077, -0.249, 1.896, 9.514
685510.36085, -0.249, 1.905, 9.318
685510.38105, -0.048, 1.987, 9.126
685510.40073, -0.048, 1.809, 8.968
685510.42080, -0.239, 1.900, 9.284
685510.44073, -0.144, 1.819, 9.298
685510.46065, -0.101, 1.977, 9.265
685510.48062, -0.168, 1.972, 8.963
685510.50082, -0.120, 1.896, 9.169
685510.52054, -0.172, 1.853, 9.471
685510.54091, -0.019, 1.862, 9.389
685510.56067, 0.005, 1.704, 9.298
685510.58043, -0.124, 1.723, 9.030
685510.60043, -0.172, 1.896, 8.815
685510.62379, -0.077, 2.006, 9.203
685510.64041, -0.062, 1.958, 9.160
685510.66034, -0.225, 1.896, 9.030
685510.68043, -0.455, 1.953, 8.987
685510.70028, -0.431, 1.977, 8.753
685510.72028, -0.599, 2.049, 8.815
685510.74042, -0.828, 1.982, 9.169
685510.76013, -0.488, 2.116, 9.318
685510.78089, -0.024, 2.360, 9.011
685510.80009, -0.005, 2.327, 8.772
685510.81983, 0.067, 2.236, 8.714
685510.84000, 0.239, 2.212, 9.016
685510.86003, -0.014, 2.245, 9.279
685510.87987, -0.057, 2.370, 9.318
685510.89984, -0.192, 2.121, 9.279
685510.92056, -0.081, 2.015, 9.591
685510.94001, -0.062, 2.058, 9.361
685510.96081, -0.148, 2.044, 8.829
685510.97994, -0.038, 1.987, 8.982
685510.99976, -0.129, 1.934, 9.519
685511.02009, -0.067, 1.977, 9.710
685511.03990, -0.014, 1.738, 9.591
685511.05980, 0.034, 1.508, 9.485
685511.07962, -0.393, 1.015, 10.448
685511.09989, 0.101, 1.407, 10.309
685511.11962, 0.153, 1.345, 10.031
685511.13937, 0.014, 1.187, 10.271
685511.15990, 0.158, 1.355, 10.031
685511.17959, -0.254, 1.225, 9.394
685511.19915, -0.742, 1.163, 9.318
685511.21941, -0.737, 0.904, 9.921
685511.23916, -0.560, 0.804, 10.371
685511.25917, -0.445, 0.617, 10.357
