ID, X, Y, Z
517039.05949, 0.292, 0.861, 9.399
517039.07878, 0.364, 0.775, 9.289
517039.09882, 0.316, 0.837, 9.533
517039.11969, 0.431, 0.861, 9.461
517039.13863, 0.498, 0.828, 9.418
517039.15861, 0.397, 0.746, 9.447
517039.17966, 0.153, 0.766, 9.409
517039.19863, 0.426, 0.861, 9.322
517039.21850, 0.350, 0.478, 9.370
517039.23949, 0.292, 0.809, 9.342
517039.25844, -0.278, 0.646, 9.174
517039.27859, 0.646, 1.158, 9.064
517039.29938, 0.474, 0.794, 9.284
517039.31835, 0.484, 0.789, 9.433
517039.33825, 0.565, 0.699, 9.423
517039.35936, 0.211, 0.612, 9.442
517039.37821, 0.168, 0.622, 9.423
517039.39817, 0.378, 0.976, 9.289
517039.41926, 0.498, 0.890, 9.552
517039.43816, 0.991, 1.096, 9.366
517039.45830, 0.397, 0.900, 9.423
517039.47908, 0.613, 0.847, 9.500
517039.49795, 0.570, 0.981, 9.222
517039.51802, 1.039, 1.086, 9.495
517039.54108, 3.208, 1.153, 7.378
517039.55809, 0.235, 0.627, 7.445
517039.57817, -1.379, 1.594, 10.462
517039.59895, -0.599, 2.719, 9.035
517039.61797, 0.532, 2.614, 10.539
517039.63806, 0.503, 2.523, 8.786
517039.65888, 0.067, 2.365, 8.561
517039.67814, 0.206, 2.049, 9.490
517039.69788, 0.369, 1.809, 9.691
517039.71872, 0.110, 2.135, 9.452
517039.73800, 0.019, 2.039, 9.969
517039.75771, 1.135, 2.705, 9.490
517039.77990, -0.656, 1.407, 10.247
517039.79748, 0.402, 2.441, 9.514
517039.81752, 0.168, 0.584, 8.307
517039.83843, 1.618, 1.656, 10.419
517039.85758, 0.982, 1.762, 8.346
517039.87853, 0.675, 2.346, 9.883
517039.89843, -0.096, 1.570, 9.729
517039.91723, 0.474, 1.177, 8.001
517039.93748, -1.140, 0.737, 9.811
517039.95849, 1.499, -0.197, 8.710
517039.97749, 0.522, 1.053, 7.690
517039.99737, 0.407, 1.963, 9.399
517040.01808, -0.704, 2.781, 9.035
517040.03747, 0.967, 3.528, 10.007
517040.05721, 0.565, 1.814, 9.524
517040.07919, -0.139, 1.853, 7.498
517040.09676, 0.871, 0.124, 8.609
517040.11683, 1.714, 0.995, 8.815
517040.13790, 1.719, 1.920, 8.695
517040.15694, 1.369, 2.777, 7.484
517040.17796, 0.723, 2.556, 9.720
517040.19756, 0.637, 3.595, 10.950
517040.21660, 1.264, 2.916, 10.591
517040.23653, 0.426, 1.958, 9.729
517040.25790, 0.848, 1.302, 9.322
517040.27766, 0.163, 2.451, 9.849
517040.29672, 1.240, 0.722, 7.694
517040.31743, 0.895, 0.325, 9.662
517040.33673, 1.365, 2.006, 9.696
517040.35672, 1.010, 1.862, 8.714
517040.37859, -0.579, 1.704, 10.122
517040.39611, -0.101, 1.618, 8.939
517040.41617, -0.182, 1.891, 9.830
517040.43714, -0.172, 2.509, 11.018
517040.45607, -0.436, 0.924, 8.896
517040.47723, -0.268, 0.033, 9.787
517040.49697, -0.048, 0.651, 8.590
517040.51596, 0.105, 2.178, 9.126
517040.53627, 0.273, 0.224, 9.600
517040.55715, 0.057, 1.374, 9.729
517040.57704, 2.116, 1.694, 7.488
517040.59568, -0.594, -0.068, 9.624
517040.61681, -0.297, 1.340, 9.241
517040.63593, 1.058, 1.316, 9.643
517040.65593, 0.431, 0.291, 9.820
517040.67791, 0.397, 1.043, 8.992
517040.69548, -0.919, 1.575, 9.490
517040.71559, -0.594, 0.924, 9.911
517040.73642, -1.010, 2.518, 8.149
517040.75544, 0.407, 1.977, 9.524
517040.77568, 0.670, 1.264, 8.944
517040.79633, 1.796, 2.623, 9.298
517040.81532, -0.867, 0.363, 9.983
517040.83531, 0.747, 1.225, 8.197
517040.85657, 1.130, 0.651, 8.887
517040.87641, 0.057, 0.540, 10.232
517040.89514, -0.048, 1.402, 7.216
517040.91640, 1.173, 2.513, 8.446
517040.93511, -1.930, -0.254, 10.237
517040.95501, 0.273, 0.014, 8.848
517040.97733, 0.340, 0.359, 8.370
517040.99484, 1.858, 2.786, 11.516
517041.01489, 0.153, 1.666, 8.159
517041.03587, 1.413, 0.952, 10.553
517041.05482, 1.039, 0.746, 7.895
517041.07636, -0.991, -1.322, 11.587
517041.09563, -0.235, 1.359, 7.536
517041.11467, 0.757, 0.263, 11.094
517041.13487, 1.628, 1.273, 7.369
517041.15604, -0.062, 1.920, 10.022
517041.17453, 1.159, 2.298, 7.714
517041.19438, -1.494, 0.612, 10.759
517041.21548, 1.662, 0.291, 10.749
517041.23452, 0.991, 1.278, 9.117
517041.25442, 0.905, 1.422, 9.648
517041.27512, 0.958, 2.063, 7.144
517041.29405, -0.781, 0.785, 11.889
517041.31396, -0.445, 1.599, 8.504
517041.33503, -0.053, -0.441, 10.644
517041.35389, -1.767, 1.704, 8.633
517041.37397, -0.259, 0.809, 10.069
517041.39576, 0.359, 1.680, 9.648
517041.41379, -0.096, 1.771, 10.146
517041.43381, 0.105, 0.900, 10.769
517041.45481, 0.934, 2.351, 10.711
517041.47378, 0.378, 1.738, 9.547
517041.49376, 2.586, 2.604, 7.843
517041.51472, -0.737, 0.392, 11.736
517041.53364, -0.589, 2.063, 7.747
517041.55354, 0.766, 1.886, 11.214
517041.57470, -0.982, 1.623, 8.973
517041.59350, -0.464, 1.637, 10.673
517041.61374, -0.953, 0.440, 9.356
517041.63444, 1.595, 2.456, 7.589
517041.65332, 0.584, 1.311, 9.102
517041.67334, -0.503, 1.374, 7.819
517041.69431, 0.335, 2.102, 11.530
517041.71313, 0.445, 1.144, 8.432
517041.73351, 1.369, 1.584, 9.892
517041.75435, 0.603, 1.484, 10.462
517041.77316, 2.227, 2.178, 8.580
517041.79327, 1.776, 1.173, 10.381
517041.81432, 0.488, 1.000, 8.030
517041.83331, 1.164, 1.431, 10.132
517041.85479, 1.312, 0.478, 9.591
517041.87566, 1.628, 1.465, 8.872
517041.89326, 3.438, 2.580, 9.049
517041.91311, -1.528, -0.068, 8.087
517041.93403, 0.642, 1.249, 10.050
517041.95305, 0.287, -0.470, 7.986
517041.97334, -0.148, 1.819, 8.786
517041.99400, 2.624, 2.935, 8.695
517042.01298, 0.211, 0.746, 11.980
517042.03293, 0.948, 2.044, 6.871
517042.05389, 0.388, 3.179, 14.010
517042.07299, 1.609, 1.967, 6.406
517042.09297, 0.163, 2.571, 9.514
517042.11416, -0.603, 0.799, 9.150
517042.13297, -0.287, 0.742, 8.374
517042.15348, 0.206, 0.713, 8.633
517042.17496, 0.105, 0.502, 10.754
517042.19227, 0.115, 0.330, 8.130
517042.21237, 0.642, -0.077, 8.221
517042.23352, 1.159, 1.757, 9.610
517042.25231, -0.417, 0.895, 9.447
517042.27248, -0.488, 1.316, 11.195
517042.29359, -0.704, 1.235, 8.063
517042.31221, 1.465, 2.446, 9.883
517042.33201, 0.417, 0.526, 8.633
517042.35317, -0.771, 0.732, 9.840
517042.37227, 0.488, 1.407, 8.355
517042.39220, -0.881, 1.010, 9.820
517042.41337, 0.192, 2.082, 8.743
517042.43192, -1.604, -0.206, 10.357
517042.45182, -0.833, 0.900, 8.097
517042.47328, -2.322, -0.537, 11.075
517042.49377, 0.014, 1.139, 7.872
517042.51166, -0.527, 1.431, 10.998
517042.53290, -0.757, 0.995, 7.742
517042.55162, -0.757, 2.346, 10.141
517042.57227, -0.225, 1.546, 8.959
517042.59372, -0.096, -0.896, 12.191
517042.61137, 2.456, 1.182, 5.688
517042.63143, 1.250, 0.196, 11.946
517042.65241, 0.302, 1.809, 8.149
517042.67154, -1.853, 0.325, 11.080
517042.69256, 0.316, -0.441, 7.948
517042.71241, 1.144, -0.542, 9.643
517042.73120, 0.273, -1.279, 8.786
517042.75113, -0.283, 0.277, 10.845
517042.77211, -0.053, -1.121, 9.366
517042.79134, 1.068, -0.264, 6.785
517042.81102, 0.350, 1.048, 11.611
517042.83209, 1.504, 0.244, 6.684
517042.85092, 0.766, 1.015, 9.634
517042.87127, 0.804, 2.092, 9.184
517042.89305, -0.388, 0.641, 10.318
517042.91101, 2.016, 2.178, 9.246
517042.93077, -0.110, 1.532, 8.279
517042.95181, 1.025, 2.418, 8.595
517042.97072, 0.919, 2.336, 9.351
517042.99211, 1.958, 3.155, 8.053
517043.01159, 2.624, 2.011, 9.514
517043.03062, 0.335, 3.275, 9.298
517043.05064, 0.527, 3.873, 8.480
517043.07183, -0.828, 1.268, 10.132
517043.09192, 1.298, 2.604, 8.398
517043.11031, 1.140, 2.178, 11.951
517043.13152, 0.062, 0.986, 10.577
517043.15035, 0.144, 1.326, 8.882
517043.17061, 0.608, 1.211, 8.341
517043.19278, -0.388, -0.508, 12.181
517043.21057, 0.024, 0.608, 7.101
517043.23017, -0.445, -0.183, 11.927
517043.25117, 0.268, -0.901, 7.426
517043.27040, 0.163, 0.363, 8.523
517043.28997, -0.852, 0.991, 9.787
517043.31106, 0.761, 1.580, 8.393
517043.33003, -0.163, 1.043, 10.127
517043.34990, -0.321, 1.426, 8.058
517043.37101, -0.014, 0.354, 9.921
517043.39125, -0.215, 1.718, 8.719
517043.40980, -2.227, -0.044, 10.740
517043.43077, -0.656, 1.106, 9.160
517043.44963, 1.006, 2.509, 9.246
517043.47004, 1.164, 1.225, 9.337
517043.49095, 0.996, 1.493, 10.275
517043.50990, 1.154, 2.705, 8.743
517043.52957, 1.049, 1.441, 11.324
517043.55056, -0.436, 0.971, 8.389
517043.56943, 0.498, 1.814, 10.438
517043.59088, 0.062, 0.387, 8.121
517043.61025, -0.622, 0.459, 6.847
517043.62934, -0.532, 0.493, 11.860
517043.64930, 0.168, -0.542, 9.184
517043.67055, 1.556, 1.091, 7.551
517043.69063, 0.129, 0.746, 9.897
517043.70902, 1.235, 1.857, 8.350
517043.73021, 0.632, -0.422, 11.621
517043.74906, -0.455, 0.665, 7.378
517043.76952, 0.469, 1.489, 9.931
517043.79143, 1.255, 0.550, 10.381
517043.80878, 0.421, 1.359, 6.962
517043.82893, 1.188, 0.124, 10.203
517043.85002, 0.905, 1.920, 6.861
517043.86894, 1.475, 1.838, 10.663
517043.89017, -1.379, 0.440, 11.611
517043.90964, 1.518, 2.791, 7.139
517043.92856, -1.437, 1.599, 11.549
517043.94917, 0.196, 0.909, 8.982
517043.96955, -0.618, 1.900, 10.582
