TIME, X, Y, Z
685296.12029, -0.192, 1.747, 8.944
685296.14027, -0.335, 1.680, 9.121
685296.16038, -0.335, 1.795, 9.160
685296.18016, -0.393, 1.738, 9.346
685296.20020, -0.335, 1.680, 9.332
685296.22021, -0.254, 1.924, 9.083
685296.24004, -0.412, 1.675, 8.733
685296.26012, -0.359, 1.790, 9.160
685296.28017, -0.383, 1.800, 9.308
685296.30003, -0.383, 1.666, 9.562
685296.31995, -0.373, 1.637, 9.782
685296.34015, -0.321, 1.594, 9.571
685296.35991, -0.488, 1.838, 9.366
685296.37980, -0.632, 1.924, 9.260
685296.39991, -0.517, 1.953, 8.657
685296.41978, -0.646, 1.982, 8.719
685296.43973, -0.790, 2.178, 8.829
685296.46000, -0.900, 2.054, 8.571
685296.47957, -0.747, 2.001, 9.222
685296.50020, -0.436, 1.848, 9.643
685296.51979, -0.369, 1.728, 9.768
685296.53965, -0.115, 2.073, 9.275
685296.55985, -0.129, 2.020, 8.748
685296.57969, -0.158, 1.891, 8.786
685296.59972, -0.206, 1.900, 9.351
685296.61995, -0.464, 1.905, 9.174
685296.64005, -0.460, 1.862, 8.767
685296.65966, -0.532, 1.900, 8.671
685296.67932, -0.359, 1.747, 9.260
685296.69961, -0.287, 1.728, 9.749
685296.71938, -0.081, 1.853, 9.820
685296.73945, -0.048, 1.685, 9.236
685296.76063, -0.077, 1.800, 9.035
685296.77901, -0.292, 1.785, 9.437
685296.79908, -0.311, 1.709, 9.562
685296.81942, -0.412, 1.896, 9.279
685296.83908, -0.517, 1.814, 9.528
685296.85894, -0.551, 1.632, 10.103
685296.87982, -0.350, 1.479, 10.634
685296.89889, -0.321, 1.584, 10.069
685296.91898, -0.335, 1.417, 9.160
685296.93929, -0.373, 1.417, 8.868
685296.96031, -0.105, 1.484, 9.241
685296.97863, -0.005, 1.426, 9.461
685296.99900, -0.048, 0.900, 9.634
685297.01913, -0.283, 0.584, 10.017
685297.03858, -0.211, 0.517, 10.146
685297.05897, -0.144, 0.660, 10.022
685297.07881, -0.029, 0.837, 9.471
685297.09851, 0.134, 0.948, 8.829
685297.11869, 0.153, 1.048, 9.049
685297.13862, 0.115, 0.948, 8.772
685297.15927, 0.034, 0.957, 9.140
685297.17889, -0.010, 0.952, 9.279
685297.19824, -0.019, 0.991, 9.131
685297.21836, 0.067, 1.182, 8.944
