TIME, X, Y, Z
720343.15596, 0.316, 1.714, 9.591
720343.17530, 0.115, 1.694, 9.227
720343.19512, 0.330, 1.776, 8.853
720343.21507, 0.278, 1.848, 8.743
720343.23528, 0.235, 1.886, 8.896
720343.25514, 0.192, 2.020, 9.332
720343.27498, 0.053, 2.011, 9.677
720343.29524, 0.153, 1.929, 9.447
720343.31488, 0.038, 1.967, 9.638
720343.33489, -0.053, 2.054, 9.471
720343.35509, -0.306, 2.087, 9.298
720343.37473, -0.330, 1.843, 9.270
720343.39472, 0.034, 1.752, 9.073
720343.41500, -0.124, 1.920, 8.829
720343.43480, -0.010, 1.833, 8.805
720343.45467, 0.129, 1.819, 9.241
720343.47476, -0.053, 1.536, 9.581
720343.49465, 0.115, 1.498, 10.069
720343.51455, 0.560, 1.742, 9.490
720343.53470, 0.546, 1.920, 9.150
720343.55445, 0.426, 1.795, 9.045
720343.57445, 0.105, 1.896, 9.279
720343.59462, -0.038, 1.651, 9.246
720343.61448, 0.340, 1.824, 9.241
720343.63454, 0.503, 2.034, 9.394
720343.65482, 0.326, 1.905, 9.490
720343.67469, 0.168, 1.963, 9.313
720343.69434, -0.072, 1.714, 8.877
720343.71460, 0.024, 1.589, 9.385
720343.73427, 0.589, 1.881, 9.045
720343.75421, 0.306, 2.097, 8.925
720343.77453, 0.187, 1.757, 9.097
720343.79433, 0.153, 1.604, 9.543
720343.81417, 0.177, 1.589, 9.571
720343.83431, 0.455, 1.929, 8.915
720343.85422, 0.359, 2.145, 8.504
720343.87408, -0.005, 1.905, 8.920
720343.89418, -0.316, 1.704, 9.126
720343.91414, -0.225, 1.685, 9.442
720343.93370, 0.225, 2.020, 9.260
720343.95386, 0.034, 2.207, 9.016
720343.97379, 0.259, 2.298, 8.619
720343.99402, 0.038, 2.188, 8.393
720344.01392, -0.340, 1.757, 8.427
720344.03357, 0.014, 1.738, 9.164
720344.05350, 0.129, 2.034, 9.394
720344.07369, 0.043, 2.125, 9.016
720344.09345, 0.177, 2.207, 8.906
720344.11381, -0.086, 2.116, 9.337
720344.13348, -0.393, 1.905, 10.045
720344.15335, -0.364, 1.963, 9.394
720344.17341, -0.330, 1.977, 8.930
720344.19338, -0.144, 1.853, 9.571
720344.21345, -0.034, 1.800, 9.744
720344.23339, 0.014, 1.690, 10.577
720344.25321, 0.153, 1.383, 10.936
720344.27313, 0.134, 1.565, 9.806
720344.29322, -0.220, 1.685, 9.097
720344.31329, -0.373, 1.493, 9.677
720344.33329, -0.215, 1.551, 9.892
720344.35285, -0.101, 1.383, 9.658
720344.37352, -0.340, 1.225, 9.366
720344.39280, -0.536, 1.192, 9.581
720344.41290, -0.503, 1.197, 9.806
720344.43309, -0.397, 1.058, 10.290
720344.45264, -0.268, 0.766, 11.003
720344.47286, -0.278, 0.488, 11.453
720344.49276, -0.350, 0.177, 10.419
720344.51292, -0.306, 0.459, 9.342
720344.53281, -0.278, 0.450, 8.987
720344.55263, -0.110, 0.785, 9.500
720344.57293, -0.239, 0.660, 9.567
720344.59239, -0.129, 0.703, 9.045
720344.61285, 0.163, 0.742, 8.724
720344.63223, -0.144, 0.588, 8.815
720344.65225, -0.421, 0.349, 9.442
720344.67276, -0.144, 0.679, 8.796
720344.69248, -0.096, 0.871, 8.312
720344.71248, -0.211, 0.617, 8.034
720344.73253, -0.335, 0.373, 7.857
720344.75199, -0.220, 0.785, 8.518
720344.77203, -0.383, 0.828, 8.499
720344.79239, -0.077, 0.751, 8.393
720344.81217, 0.038, 0.847, 9.126
720344.83181, -0.263, 0.727, 9.840
720344.85198, 0.038, 1.000, 10.146
720344.87186, 0.148, 1.043, 10.481
720344.89170, 0.249, 0.933, 10.189
720344.91223, 0.354, 1.024, 9.768
720344.93184, 0.503, 1.197, 9.878
720344.95153, 0.479, 1.201, 10.199
720344.97201, 0.244, 1.129, 10.941
720344.99149, 0.057, 0.818, 11.429
720345.01189, -0.192, 0.708, 10.673
720345.03185, -0.077, 0.943, 10.065
720345.05142, -0.244, 0.971, 9.892
720345.07164, -0.637, 0.631, 10.994
720345.09175, -0.814, 0.186, 12.172
720345.11131, -0.881, -0.154, 12.186
720345.13119, -0.575, -0.374, 11.851
720345.15137, -0.311, -0.187, 11.051
720345.17091, -0.187, -0.015, 10.266
720345.19087, -0.263, -0.068, 10.347
720345.21107, -0.163, -0.254, 10.093
720345.23081, -0.254, -0.743, 9.624
720345.25071, -0.350, -0.858, 9.394
720345.27088, -0.101, -0.494, 8.925
720345.29072, -0.397, -0.274, 8.192
720345.31059, -0.555, -0.365, 8.293
720345.33069, -0.450, -0.106, 8.341
720345.35054, -0.235, 0.009, 8.432
720345.37059, -0.005, 0.090, 8.168
720345.39061, 0.043, 0.148, 8.288
720345.41041, -0.053, 0.291, 8.858
720345.43043, -0.139, 0.205, 8.642
720345.45055, -0.115, 0.301, 8.504
720345.47024, -0.086, 0.287, 7.967
720345.49029, 0.120, 0.291, 7.330
720345.51040, 0.057, 0.387, 7.886
720345.53026, -0.086, 0.296, 7.953
720345.55009, -0.206, 0.584, 8.058
720345.57037, -0.455, 0.617, 8.451
720345.59018, -0.632, 0.550, 8.475
720345.60997, -0.350, 0.517, 9.284
720345.63013, -0.259, 0.684, 10.701
720345.65003, -0.594, 0.684, 12.052
720345.66985, -0.915, 0.344, 12.210
720345.69002, -0.594, 0.382, 11.472
720345.70978, -0.192, 0.818, 10.634
720345.72978, 0.053, 0.813, 11.860
720345.74991, -0.460, 0.282, 12.277
720345.77000, -0.120, 0.057, 11.492
720345.78973, 0.211, 0.090, 10.486
720345.80982, 0.000, 0.224, 10.826
720345.83278, -0.283, -0.178, 11.937
720345.84974, -0.321, -0.412, 12.641
720345.86990, -0.254, -0.039, 10.725
720345.88943, -0.110, 0.598, 8.053
720345.90941, -0.278, 0.593, 7.326
720345.92952, -0.608, -0.001, 8.087
720345.94949, -0.158, -0.216, 8.437
720345.96933, 0.469, -0.015, 7.579
720345.98951, 0.503, 0.143, 7.819
720346.00943, 0.407, 0.224, 8.255
720346.02942, 0.187, 0.201, 8.283
720346.04927, 0.129, 0.502, 7.953
720346.06918, 0.062, 0.823, 7.728
720346.08927, 0.177, 1.101, 7.876
720346.10932, -0.048, 0.732, 8.188
720346.12914, -0.321, 0.636, 9.868
720346.14905, 0.101, 0.789, 8.628
720346.16933, 0.259, 1.307, 7.771
720346.18891, 0.115, 0.857, 7.316
720346.20879, -0.062, 0.536, 7.187
720346.22901, 0.043, 0.517, 8.350
720346.24890, 0.565, 0.718, 9.605
720346.26882, 0.239, 0.584, 10.385
720346.28925, -0.354, 0.296, 11.238
720346.30911, -0.713, 0.426, 11.803
720346.33067, -0.086, 0.861, 11.482
720346.34877, 0.244, 1.139, 11.506
720346.36856, -0.043, 0.833, 11.860
720346.38848, -0.321, 0.306, 12.636
720346.40858, -0.172, 0.373, 12.990
720346.42838, 0.316, 0.842, 11.118
720346.44838, 0.508, 0.727, 9.686
720346.46844, 0.393, -0.144, 11.477
720346.48850, -0.192, -0.704, 13.541
720346.50843, -0.043, -0.724, 12.282
720346.52855, -0.067, 0.105, 8.906
720346.54840, -0.441, 0.301, 7.196
720346.56813, -0.991, 0.229, 8.461
720346.58843, -0.824, 0.062, 9.686
720346.60797, -0.484, 0.196, 8.777
720346.62815, -0.273, 0.301, 7.771
720346.64804, -0.589, 0.550, 7.441
720346.66793, -0.555, 0.627, 7.852
720346.68785, -0.369, 0.699, 7.862
720346.70800, -0.024, 1.010, 7.225
720346.72754, 0.000, 0.962, 5.736
720346.74778, -0.220, 0.871, 5.722
